Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,749.9,749.9,731,747.4,736,735.65,738.34,987.85,395.1,"5,256,363","3,880,967,015.50","75,603",ADANIPORTS
16-Jun-23,EQ,741,749.7,740.8,739.5,744.55,747.4,744.54,987.85,395.1,"6,800,269","5,063,082,262.65","77,204",ADANIPORTS
15-Jun-23,EQ,737.3,748.7,737,739.35,737.05,739.5,742.55,987.85,395.1,"6,448,934","4,788,685,950.75","85,893",ADANIPORTS
14-Jun-23,EQ,736.35,742.75,735.8,737.85,738.85,739.35,739.35,987.85,395.1,"3,900,945","2,884,158,036.15","63,517",ADANIPORTS
13-Jun-23,EQ,741,742.4,735.05,742.1,736.3,737.85,738.92,987.85,395.1,"3,636,359","2,686,977,618.65","62,181",ADANIPORTS
12-Jun-23,EQ,735.2,746.55,733.55,734.95,741.8,742.1,742.71,987.85,395.1,"4,571,836","3,395,551,908.05","60,465",ADANIPORTS
9-Jun-23,EQ,738,742,733,736.4,734,734.95,737.13,987.85,395.1,"1,335,172","984,194,827.00","28,748",ADANIPORTS
8-Jun-23,EQ,744.95,749,733,743.75,738.5,736.4,740.78,987.85,395.1,"2,141,709","1,586,528,352.70","43,163",ADANIPORTS
7-Jun-23,EQ,750,751,741.95,745.4,743.45,743.75,746.07,987.85,395.1,"2,129,238","1,588,565,483.55","47,226",ADANIPORTS
6-Jun-23,EQ,742.9,747,740,738.8,744.9,745.4,744.6,987.85,395.1,"5,492,469","4,089,692,296.55","66,991",ADANIPORTS
5-Jun-23,EQ,738,744,735,736.6,737.7,738.8,740.54,987.85,395.1,"5,166,097","3,825,705,777.05","65,724",ADANIPORTS
2-Jun-23,EQ,738,744,734,732.05,735,736.6,737.9,987.85,395.1,"5,554,473","4,098,642,831.35","80,412",ADANIPORTS
1-Jun-23,EQ,730.5,744.95,729,738.85,733,732.05,736.11,987.85,395.1,"3,771,760","2,776,423,260.05","66,793",ADANIPORTS
31-May-23,EQ,736,749,721.3,734.05,740,738.85,736.74,987.85,395.1,"13,649,365","10,056,031,034.90","153,368",ADANIPORTS
30-May-23,EQ,740,742.35,727.65,737.5,734,734.05,734.41,987.85,395.1,"4,785,799","3,514,743,227.30","80,819",ADANIPORTS
29-May-23,EQ,731,740,728.05,726.85,737.05,737.5,734.06,987.85,395.1,"4,302,323","3,158,183,780.55","77,787",ADANIPORTS
26-May-23,EQ,729.1,730.35,720.6,724.5,726,726.85,725.99,987.85,395.1,"4,507,617","3,272,506,893.75","67,608",ADANIPORTS
25-May-23,EQ,717,727,705.6,718.25,725.7,724.5,719.19,987.85,395.1,"7,458,008","5,363,721,347.65","111,008",ADANIPORTS
24-May-23,EQ,739,739,708.75,734.05,717.8,718.25,723.11,987.85,395.1,"12,809,164","9,262,417,057.00","217,870",ADANIPORTS
23-May-23,EQ,744.3,785.65,730,729.7,735,734.05,756.58,987.85,395.1,"39,497,528","29,883,221,401.30","569,760",ADANIPORTS
22-May-23,EQ,698.9,753.4,693.15,688.1,732.2,729.7,732.52,987.85,395.1,"30,204,070","22,125,072,606.30","470,198",ADANIPORTS
19-May-23,EQ,664,694.15,659.5,664.95,691,688.1,677.74,987.85,395.1,"6,340,270","4,297,049,568.20","105,193",ADANIPORTS
18-May-23,EQ,689.7,689.7,661.3,684.6,664.55,664.95,672.36,987.85,395.1,"4,405,410","2,962,035,063.55","77,856",ADANIPORTS
17-May-23,EQ,687.25,691.95,682.55,687,684.6,684.6,686.36,987.85,395.1,"2,295,396","1,575,462,995.20","43,317",ADANIPORTS
16-May-23,EQ,694.05,698.8,685.3,694.05,687.5,687,692.58,987.85,395.1,"1,403,759","972,211,248.60","32,405",ADANIPORTS
15-May-23,EQ,699.8,701.7,687.5,700,693,694.05,695,987.85,395.1,"2,616,737","1,818,627,630.60","54,830",ADANIPORTS
12-May-23,EQ,712,712,695.05,708.8,699.9,700,701.11,987.85,395.1,"4,025,355","2,822,228,720.35","64,776",ADANIPORTS
11-May-23,EQ,694,714,692.25,691,708,708.8,706.21,987.85,395.1,"5,979,387","4,222,702,381.95","125,175",ADANIPORTS
10-May-23,EQ,692,692.4,685.55,690.5,690.5,691,689.52,987.85,395.1,"1,794,579","1,237,395,570.60","39,257",ADANIPORTS
9-May-23,EQ,685.1,695.9,684.5,685.1,689.45,690.5,691.81,987.85,395.1,"4,029,312","2,787,523,887.75","64,519",ADANIPORTS
8-May-23,EQ,684.7,690.65,678.6,683.9,685.9,685.1,684.86,987.85,395.1,"3,671,007","2,514,114,384.20","58,366",ADANIPORTS
5-May-23,EQ,682.8,693.6,677.5,679.75,683.1,683.9,684.47,987.85,395.1,"5,193,692","3,554,950,230.95","65,110",ADANIPORTS
4-May-23,EQ,670,682,667.7,669.65,680.15,679.75,674.08,987.85,395.1,"5,124,811","3,454,517,851.20","87,207",ADANIPORTS
3-May-23,EQ,675,684.85,656.75,681.5,668,669.65,673.54,987.85,395.1,"5,645,727","3,802,602,342.35","82,651",ADANIPORTS
2-May-23,EQ,683.8,685.9,672.6,681.3,681,681.5,679.76,987.85,395.1,"5,563,089","3,781,577,392.65","99,001",ADANIPORTS
28-Apr-23,EQ,666.2,683,662.15,659.75,681,681.3,675.79,987.85,395.1,"6,162,262","4,164,399,869.45","101,274",ADANIPORTS
27-Apr-23,EQ,667.9,668.2,657.2,664.7,659.55,659.75,661.6,987.85,395.1,"3,197,568","2,115,515,512.55","60,707",ADANIPORTS
26-Apr-23,EQ,671,671.6,662.1,671.45,664.2,664.7,665.91,987.85,395.1,"3,373,385","2,246,355,325.65","58,117",ADANIPORTS
25-Apr-23,EQ,675,682.5,668.85,671.3,670.8,671.45,675.95,987.85,395.1,"4,814,190","3,254,149,313.35","75,479",ADANIPORTS
24-Apr-23,EQ,665.1,672.75,656,661.6,670,671.3,665.29,987.85,395.1,"3,357,178","2,233,503,712.30","67,207",ADANIPORTS
21-Apr-23,EQ,668,670.6,658.65,666.1,661,661.6,663.01,987.85,395.1,"1,982,614","1,314,495,344.20","37,088",ADANIPORTS
20-Apr-23,EQ,663,678.5,661.2,658.4,668,666.1,669.29,987.85,395.1,"5,009,410","3,352,732,718.15","85,777",ADANIPORTS
19-Apr-23,EQ,659,665,654.9,658.55,656.65,658.4,660.05,987.85,395.1,"2,683,546","1,771,268,573.90","43,183",ADANIPORTS
18-Apr-23,EQ,668,671.4,651.05,664.7,657,658.55,661.46,987.85,395.1,"2,964,854","1,961,127,938.15","48,428",ADANIPORTS
17-Apr-23,EQ,663,666.7,658,661.65,664.75,664.7,663.04,987.85,395.1,"2,731,225","1,810,907,709.20","46,245",ADANIPORTS
