Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"5,220.00","5,261.95","5,135.30","5,200.05","5,150.00","5,145.00","5,188.33","5,294.00","3,635.20","327,818","1,700,829,067.60","25,044",APOLLOHOSP
16-Jun-23,EQ,"5,218.75","5,294.00","5,163.05","5,218.75","5,206.05","5,200.05","5,208.67","5,294.00","3,556.10","797,312","4,152,938,160.10","62,671",APOLLOHOSP
15-Jun-23,EQ,"5,039.95","5,259.80","5,018.00","5,009.00","5,207.00","5,218.75","5,146.07","5,259.80","3,556.10","1,712,253","8,811,370,319.75","108,108",APOLLOHOSP
14-Jun-23,EQ,"4,965.00","5,022.55","4,951.05","4,951.05","5,009.00","5,009.00","4,995.49","5,040.00","3,556.10","360,156","1,799,156,292.10","33,097",APOLLOHOSP
13-Jun-23,EQ,"4,925.00","4,990.00","4,916.75","4,924.75","4,953.55","4,951.05","4,955.08","5,040.00","3,556.10","308,751","1,529,884,816.15","34,274",APOLLOHOSP
12-Jun-23,EQ,"4,949.00","4,995.00","4,915.05","4,926.70","4,935.00","4,924.75","4,947.48","5,040.00","3,556.10","343,835","1,701,115,187.50","38,989",APOLLOHOSP
9-Jun-23,EQ,"4,926.65","4,965.85","4,907.05","4,926.65","4,920.00","4,926.70","4,934.88","5,040.00","3,525.00","249,400","1,230,759,762.95","29,236",APOLLOHOSP
8-Jun-23,EQ,"5,020.00","5,028.55","4,920.00","5,026.45","4,930.10","4,926.65","4,948.78","5,040.00","3,525.00","411,502","2,036,432,063.85","38,507",APOLLOHOSP
7-Jun-23,EQ,"4,964.45","5,040.00","4,950.05","4,940.10","5,024.00","5,026.45","5,016.86","5,040.00","3,525.00","552,840","2,773,519,655.10","47,472",APOLLOHOSP
6-Jun-23,EQ,"4,969.00","4,969.45","4,893.50","4,950.20","4,946.00","4,940.10","4,927.74","5,009.20","3,525.00","382,992","1,887,283,447.60","39,327",APOLLOHOSP
5-Jun-23,EQ,"4,967.95","5,009.20","4,934.05","4,967.30","4,950.30","4,950.20","4,973.58","5,009.20","3,525.00","698,352","3,473,306,064.60","60,987",APOLLOHOSP
2-Jun-23,EQ,"4,839.65","5,002.20","4,806.00","4,814.25","4,960.00","4,967.30","4,922.37","5,002.20","3,525.00","1,326,161","6,527,859,385.95","93,360",APOLLOHOSP
1-Jun-23,EQ,"4,689.00","4,847.00","4,686.00","4,621.95","4,823.00","4,814.25","4,797.84","4,901.95","3,525.00","1,692,479","8,120,244,772.30","144,942",APOLLOHOSP
31-May-23,EQ,"4,600.00","4,731.00","4,525.00","4,599.15","4,618.00","4,621.95","4,637.99","4,901.95","3,525.00","1,655,511","7,678,246,894.35","140,208",APOLLOHOSP
30-May-23,EQ,"4,672.00","4,795.00","4,535.45","4,640.45","4,600.00","4,599.15","4,671.33","4,901.95","3,525.00","1,298,380","6,065,162,904.65","90,653",APOLLOHOSP
29-May-23,EQ,"4,635.00","4,665.00","4,580.65","4,609.90","4,652.00","4,640.45","4,620.52","4,901.95","3,525.00","332,364","1,535,695,012.05","27,306",APOLLOHOSP
26-May-23,EQ,"4,590.00","4,620.00","4,551.25","4,568.15","4,600.00","4,609.90","4,602.11","4,901.95","3,361.55","289,579","1,332,673,780.90","19,530",APOLLOHOSP
25-May-23,EQ,"4,569.00","4,597.95","4,530.95","4,536.45","4,583.00","4,568.15","4,558.60","4,901.95","3,361.55","202,680","923,936,396.65","24,187",APOLLOHOSP
24-May-23,EQ,"4,540.95","4,607.00","4,523.35","4,550.40","4,540.00","4,536.45","4,565.46","4,901.95","3,361.55","225,979","1,031,698,965.45","23,831",APOLLOHOSP
23-May-23,EQ,"4,605.00","4,617.05","4,533.00","4,605.30","4,541.00","4,550.40","4,570.43","4,901.95","3,361.55","433,331","1,980,509,514.95","35,220",APOLLOHOSP
22-May-23,EQ,"4,459.80","4,625.00","4,451.95","4,447.15","4,605.00","4,605.30","4,554.58","4,901.95","3,361.55","361,967","1,648,609,230.15","29,486",APOLLOHOSP
19-May-23,EQ,"4,455.00","4,465.00","4,410.25","4,442.00","4,440.00","4,447.15","4,438.09","4,901.95","3,361.55","177,405","787,338,965.70","16,161",APOLLOHOSP
18-May-23,EQ,"4,510.00","4,529.90","4,433.00","4,482.15","4,443.05","4,442.00","4,478.95","4,901.95","3,361.55","167,057","748,239,872.85","15,125",APOLLOHOSP
17-May-23,EQ,"4,580.05","4,599.60","4,458.00","4,555.10","4,476.00","4,482.15","4,499.71","4,901.95","3,361.55","266,803","1,200,535,833.30","33,409",APOLLOHOSP
16-May-23,EQ,"4,625.00","4,642.25","4,541.00","4,625.85","4,555.70","4,555.10","4,592.96","4,901.95","3,361.55","310,725","1,427,148,801.15","29,868",APOLLOHOSP
15-May-23,EQ,"4,609.95","4,689.00","4,591.10","4,605.25","4,622.00","4,625.85","4,652.61","4,901.95","3,361.55","401,847","1,869,638,615.35","37,584",APOLLOHOSP
12-May-23,EQ,"4,595.00","4,640.00","4,535.00","4,595.30","4,607.00","4,605.25","4,606.75","4,901.95","3,361.55","427,837","1,970,938,133.40","36,118",APOLLOHOSP
11-May-23,EQ,"4,610.95","4,645.00","4,584.65","4,601.30","4,588.10","4,595.30","4,614.10","4,901.95","3,361.55","409,446","1,889,226,712.00","20,221",APOLLOHOSP
10-May-23,EQ,"4,593.05","4,634.00","4,577.00","4,593.05","4,613.00","4,601.30","4,607.26","4,901.95","3,361.55","293,523","1,352,338,091.05","24,963",APOLLOHOSP
9-May-23,EQ,"4,645.90","4,647.90","4,582.30","4,625.10","4,592.80","4,593.05","4,610.46","4,901.95","3,361.55","207,566","956,973,777.35","22,901",APOLLOHOSP
8-May-23,EQ,"4,611.00","4,660.00","4,585.00","4,602.50","4,634.75","4,625.10","4,631.69","4,901.95","3,361.55","274,255","1,270,264,439.00","25,623",APOLLOHOSP
5-May-23,EQ,"4,550.00","4,630.00","4,521.50","4,553.20","4,604.85","4,602.50","4,582.12","4,901.95","3,361.55","332,169","1,522,038,537.00","35,316",APOLLOHOSP
4-May-23,EQ,"4,510.00","4,569.90","4,500.00","4,515.45","4,553.00","4,553.20","4,538.27","4,901.95","3,361.55","391,146","1,775,124,595.65","27,733",APOLLOHOSP
3-May-23,EQ,"4,509.75","4,524.45","4,482.00","4,490.80","4,506.25","4,515.45","4,501.57","4,901.95","3,361.55","287,955","1,296,248,645.90","21,254",APOLLOHOSP
2-May-23,EQ,"4,529.75","4,573.30","4,476.90","4,513.70","4,482.30","4,490.80","4,511.58","4,901.95","3,361.55","384,900","1,736,507,722.90","41,344",APOLLOHOSP
28-Apr-23,EQ,"4,442.95","4,529.00","4,430.95","4,417.50","4,520.00","4,513.70","4,494.90","4,901.95","3,361.55","713,399","3,206,659,734.10","50,028",APOLLOHOSP
27-Apr-23,EQ,"4,419.85","4,438.50","4,365.05","4,410.40","4,425.00","4,417.50","4,398.32","4,901.95","3,361.55","400,508","1,761,562,970.55","36,521",APOLLOHOSP
26-Apr-23,EQ,"4,419.95","4,488.70","4,401.00","4,416.50","4,407.00","4,410.40","4,440.27","4,901.95","3,361.55","438,486","1,946,994,314.75","31,765",APOLLOHOSP
25-Apr-23,EQ,"4,409.95","4,446.25","4,383.10","4,399.05","4,414.00","4,416.50","4,417.10","4,901.95","3,361.55","252,655","1,116,001,910.60","19,694",APOLLOHOSP
24-Apr-23,EQ,"4,362.30","4,462.20","4,362.30","4,361.30","4,400.00","4,399.05","4,418.59","4,901.95","3,361.55","571,150","2,523,677,754.60","43,038",APOLLOHOSP
21-Apr-23,EQ,"4,340.00","4,428.00","4,318.45","4,348.40","4,360.00","4,361.30","4,383.39","4,903.65","3,361.55","485,292","2,127,222,798.05","41,077",APOLLOHOSP
20-Apr-23,EQ,"4,320.30","4,358.85","4,233.15","4,320.30","4,340.00","4,348.40","4,312.83","4,903.65","3,361.55","484,517","2,089,641,721.10","34,168",APOLLOHOSP
19-Apr-23,EQ,"4,355.00","4,355.00","4,221.55","4,338.65","4,309.75","4,320.30","4,289.09","4,903.65","3,361.55","517,278","2,218,649,350.00","44,082",APOLLOHOSP
18-Apr-23,EQ,"4,380.00","4,384.10","4,293.90","4,386.70","4,335.00","4,338.65","4,329.88","4,903.65","3,361.55","409,038","1,771,083,821.35","38,176",APOLLOHOSP
17-Apr-23,EQ,"4,410.00","4,448.40","4,340.00","4,398.30","4,384.50","4,386.70","4,383.36","4,903.65","3,361.55","334,963","1,468,261,948.40","35,469",APOLLOHOSP
13-Apr-23,EQ,"4,329.00","4,481.10","4,320.30","4,320.20","4,404.95","4,398.30","4,433.03","4,903.65","3,361.55","1,257,056","5,572,568,010.50","96,516",APOLLOHOSP
12-Apr-23,EQ,"4,287.70","4,328.95","4,266.50","4,271.30","4,324.50","4,320.20","4,309.33","4,903.65","3,361.55","304,498","1,312,181,202.40","32,172",APOLLOHOSP
11-Apr-23,EQ,"4,263.00","4,286.80","4,221.15","4,237.00","4,260.00","4,271.30","4,256.11","4,903.65","3,361.55","284,178","1,209,492,458.80","30,849",APOLLOHOSP
10-Apr-23,EQ,"4,215.00","4,243.65","4,187.30","4,201.95","4,231.50","4,237.00","4,212.35","4,903.65","3,361.55","323,560","1,362,949,138.85","28,140",APOLLOHOSP
6-Apr-23,EQ,"4,217.00","4,225.00","4,183.15","4,200.95","4,203.00","4,201.95","4,203.17","4,903.65","3,361.55","286,725","1,205,154,769.05","31,137",APOLLOHOSP
5-Apr-23,EQ,"4,250.00","4,250.00","4,168.00","4,234.35","4,206.00","4,200.95","4,196.69","4,903.65","3,361.55","622,533","2,612,577,937.25","46,571",APOLLOHOSP
3-Apr-23,EQ,"4,343.50","4,343.95","4,220.15","4,310.90","4,233.00","4,234.35","4,257.57","4,903.65","3,361.55","493,574","2,101,425,074.50","42,154",APOLLOHOSP
31-Mar-23,EQ,"4,384.85","4,400.95","4,299.95","4,363.00","4,306.20","4,310.90","4,333.41","4,903.65","3,361.55","465,663","2,017,908,233.15","43,012",APOLLOHOSP
29-Mar-23,EQ,"4,333.60","4,380.00","4,311.10","4,333.60","4,378.00","4,363.00","4,352.48","4,903.65","3,361.55","250,790","1,091,557,473.95","28,478",APOLLOHOSP
28-Mar-23,EQ,"4,334.80","4,343.50","4,245.05","4,318.10","4,324.80","4,333.60","4,298.52","4,903.65","3,361.55","343,628","1,477,091,754.05","28,532",APOLLOHOSP
27-Mar-23,EQ,"4,304.70","4,407.90","4,277.00","4,283.35","4,304.95","4,318.10","4,349.76","4,903.65","3,361.55","495,895","2,157,026,637.45","39,698",APOLLOHOSP
24-Mar-23,EQ,"4,277.50","4,354.65","4,261.00","4,273.05","4,289.00","4,283.35","4,310.84","4,914.90","3,361.55","354,933","1,530,058,030.55","33,367",APOLLOHOSP
23-Mar-23,EQ,"4,276.00","4,299.35","4,243.55","4,285.10","4,270.00","4,273.05","4,272.32","4,914.90","3,361.55","233,054","995,681,460.45","23,871",APOLLOHOSP
22-Mar-23,EQ,"4,275.05","4,295.00","4,211.10","4,274.00","4,276.00","4,285.10","4,255.00","4,914.90","3,361.55","302,705","1,288,008,406.40","31,004",APOLLOHOSP
21-Mar-23,EQ,"4,320.00","4,353.90","4,266.00","4,313.00","4,270.00","4,274.00","4,302.07","4,914.90","3,361.55","239,304","1,029,502,893.20","26,379",APOLLOHOSP
20-Mar-23,EQ,"4,322.00","4,353.90","4,195.00","4,346.50","4,291.25","4,313.00","4,265.95","4,914.90","3,361.55","563,835","2,405,294,522.30","59,607",APOLLOHOSP
17-Mar-23,EQ,"4,340.00","4,376.20","4,296.70","4,319.05","4,345.00","4,346.50","4,339.37","5,016.55","3,361.55","368,653","1,599,720,753.75","42,608",APOLLOHOSP
16-Mar-23,EQ,"4,330.95","4,370.00","4,266.00","4,328.80","4,317.05","4,319.05","4,320.22","5,016.55","3,361.55","300,181","1,296,847,884.50","34,078",APOLLOHOSP
15-Mar-23,EQ,"4,334.75","4,367.95","4,309.30","4,299.60","4,331.00","4,328.80","4,339.88","5,016.55","3,361.55","279,479","1,212,905,322.65","31,230",APOLLOHOSP
14-Mar-23,EQ,"4,345.00","4,354.75","4,275.00","4,345.00","4,305.00","4,299.60","4,306.60","5,016.55","3,361.55","279,237","1,202,560,997.00","27,975",APOLLOHOSP
13-Mar-23,EQ,"4,327.00","4,435.95","4,322.00","4,317.25","4,349.00","4,345.00","4,369.93","5,016.55","3,361.55","496,455","2,169,471,512.00","47,687",APOLLOHOSP
10-Mar-23,EQ,"4,399.70","4,399.70","4,291.65","4,418.15","4,315.00","4,317.25","4,321.22","5,016.55","3,361.55","328,154","1,418,027,239.30","32,670",APOLLOHOSP
9-Mar-23,EQ,"4,399.00","4,538.25","4,385.15","4,376.05","4,412.10","4,418.15","4,458.54","5,016.55","3,361.55","684,685","3,052,693,754.50","51,134",APOLLOHOSP
