Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,983.85,986,961,981.55,966.7,965.65,970.62,989.7,618.25,"11,025,846","10,701,929,039.25","231,527",AXISBANK
16-Jun-23,EQ,982.8,985.45,977.2,977.15,982,981.55,980.99,989.7,618.25,"8,860,900","8,692,481,894.50","176,892",AXISBANK
15-Jun-23,EQ,988.35,989,972.2,977.7,978.55,977.15,976.92,989.7,618.25,"15,978,311","15,609,586,954.25","199,937",AXISBANK
14-Jun-23,EQ,986,988.2,976,985.85,977.3,977.7,980.71,989.7,618.25,"8,644,423","8,477,633,173.15","134,898",AXISBANK
13-Jun-23,EQ,974.3,989.7,974.3,974.2,986.95,985.85,985.65,989.7,618.25,"15,233,785","15,015,135,976.55","171,656",AXISBANK
12-Jun-23,EQ,973,977.9,968.6,974.75,974.9,974.2,974.53,981.7,618.25,"7,465,375","7,275,268,091.35","128,054",AXISBANK
9-Jun-23,EQ,967,981.7,963.3,962.1,974.6,974.75,974.99,981.7,618.25,"12,947,464","12,623,639,248.95","170,187",AXISBANK
8-Jun-23,EQ,973.05,974.85,959.9,976.75,961.7,962.1,966.83,981.25,618.25,"10,209,982","9,871,364,694.45","155,125",AXISBANK
7-Jun-23,EQ,972.95,981.25,968.1,968.2,975,976.75,976.67,981.25,618.25,"15,795,824","15,427,253,807.75","193,021",AXISBANK
6-Jun-23,EQ,951.1,970.75,951.1,950.85,966,968.2,963.32,970.75,618.25,"14,457,988","13,927,667,088.75","203,343",AXISBANK
5-Jun-23,EQ,927.6,953.9,927.6,926.1,951,950.85,947.67,970,618.25,"14,520,005","13,760,127,782.30","238,743",AXISBANK
2-Jun-23,EQ,922.65,930.5,920.25,919.7,923.7,926.1,925.22,970,618.25,"11,616,991","10,748,318,700.85","155,663",AXISBANK
1-Jun-23,EQ,922,930.95,916.05,914.85,921.5,919.7,923.91,970,618.25,"11,817,533","10,918,348,216.70","167,684",AXISBANK
31-May-23,EQ,937.35,939.9,910.2,937.45,917.5,914.85,916.83,970,618.25,"34,757,004","31,866,286,587.55","264,113",AXISBANK
30-May-23,EQ,930.8,939.7,928.05,929.8,935.15,937.45,933.19,970,618.25,"7,804,403","7,282,994,937.60","154,714",AXISBANK
29-May-23,EQ,931,937.7,928.05,926.95,930.7,929.8,933.27,970,618.25,"7,133,871","6,657,825,588.40","127,183",AXISBANK
26-May-23,EQ,918,927.9,915,921.05,925.9,926.95,922.49,970,618.25,"4,908,462","4,528,020,852.45","106,287",AXISBANK
25-May-23,EQ,916.7,923.55,912.45,917.7,920.35,921.05,916.9,970,618.25,"8,149,350","7,472,119,111.25","113,733",AXISBANK
24-May-23,EQ,911.15,920.85,910.2,916.15,918,917.7,915.75,970,618.25,"6,248,545","5,722,097,401.05","121,754",AXISBANK
23-May-23,EQ,917.55,922.5,912.4,917.55,912.95,916.15,918.17,970,618.25,"8,273,445","7,596,397,802.65","141,294",AXISBANK
22-May-23,EQ,923,927.75,914.4,924.05,916.8,917.55,919.19,970,618.25,"9,383,158","8,624,941,377.95","130,478",AXISBANK
19-May-23,EQ,920.9,927,908.95,914.7,926,924.05,916.94,970,618.25,"8,393,002","7,695,879,382.05","149,439",AXISBANK
18-May-23,EQ,920,929.5,912.6,914.8,915.65,914.7,922.01,970,618.25,"13,614,127","12,552,328,653.70","214,235",AXISBANK
17-May-23,EQ,917.7,918.9,911.25,917.8,915.2,914.8,915.74,970,618.25,"10,248,327","9,384,850,303.70","159,245",AXISBANK
16-May-23,EQ,916.2,922.5,912,915.8,915.9,917.8,918.4,970,618.25,"12,567,615","11,542,124,160.15","154,810",AXISBANK
15-May-23,EQ,910.65,919.5,909.15,910.65,913.1,915.8,916.02,970,618.25,"7,339,579","6,723,179,195.50","183,405",AXISBANK
12-May-23,EQ,895.2,913.6,894,895.95,911,910.65,905.39,970,618.25,"10,533,272","9,536,670,795.00","161,890",AXISBANK
11-May-23,EQ,891,900,889,889.9,895.7,895.95,895.23,970,618.25,"13,816,121","12,368,619,503.95","200,160",AXISBANK
10-May-23,EQ,892,892.5,877.55,888.25,890,889.9,887.33,970,618.25,"11,893,027","10,553,051,459.10","167,094",AXISBANK
9-May-23,EQ,882.2,890.2,880,878.45,888,888.25,886.8,970,618.25,"12,117,151","10,745,483,967.45","156,537",AXISBANK
8-May-23,EQ,865.3,881.4,865.3,865.3,879.95,878.45,877.74,970,618.25,"7,007,882","6,151,112,520.70","134,771",AXISBANK
5-May-23,EQ,867.15,885,862.75,865.95,864.75,865.3,874.2,970,618.25,"14,343,308","12,538,877,195.70","196,545",AXISBANK
4-May-23,EQ,860,867.15,857.5,859.85,865.9,865.95,861.66,970,618.25,"9,756,391","8,406,700,680.10","212,358",AXISBANK
3-May-23,EQ,863.85,866.85,854.05,870.65,859.05,859.85,859.26,970,618.25,"15,103,015","12,977,445,017.40","289,619",AXISBANK
2-May-23,EQ,870,876.4,864.25,860,869.9,870.65,871.65,970,618.25,"12,947,953","11,286,116,515.35","208,931",AXISBANK
28-Apr-23,EQ,885.1,890.05,853.65,881.4,860,860,860.94,970,618.25,"23,004,117","19,805,082,924.80","371,287",AXISBANK
27-Apr-23,EQ,888,890,877.5,887.65,880.5,881.4,882.38,970,618.25,"15,992,383","14,111,354,670.75","211,246",AXISBANK
26-Apr-23,EQ,877.4,889.45,875.2,878.35,885.6,887.65,882.29,970,618.25,"19,468,723","17,177,083,781.20","231,914",AXISBANK
25-Apr-23,EQ,885,895.8,874.4,882.3,876.8,878.35,887.2,970,618.25,"36,394,389","32,289,273,339.60","221,239",AXISBANK
24-Apr-23,EQ,868,884.4,860.5,864.2,884.25,882.3,873.68,970,618.25,"18,201,632","15,902,435,367.85","170,058",AXISBANK
21-Apr-23,EQ,870.8,873.85,857.5,868.75,860.7,864.2,866.89,970,618.25,"15,520,786","13,454,767,337.10","117,031",AXISBANK
20-Apr-23,EQ,874.8,875.6,864.15,873.4,871.1,868.75,868.69,970,618.25,"19,444,753","16,891,415,680.10","128,040",AXISBANK
19-Apr-23,EQ,865,874.5,862.55,863.35,871.95,873.4,869.32,970,618.25,"23,494,247","20,424,019,478.25","170,158",AXISBANK
18-Apr-23,EQ,865.35,872,857.1,864.55,864.75,863.35,865.53,970,618.25,"17,238,709","14,920,705,065.35","140,178",AXISBANK
17-Apr-23,EQ,882,882,861,864.35,864,864.55,867.05,970,618.25,"22,577,380","19,575,735,178.10","178,837",AXISBANK
13-Apr-23,EQ,853.65,867.7,845,851.05,864,864.35,854.42,970,618.25,"23,934,570","20,450,123,140.30","176,831",AXISBANK
12-Apr-23,EQ,854.9,856.65,846.65,853.3,851.95,851.05,850.29,970,618.25,"13,480,335","11,462,240,653.50","160,356",AXISBANK
11-Apr-23,EQ,848.25,855.7,844.05,847.35,853.7,853.3,849.69,970,618.25,"23,930,907","20,333,891,050.00","191,245",AXISBANK
10-Apr-23,EQ,854.8,854.95,843.95,851.95,845.5,847.35,848.25,970,618.25,"15,656,078","13,280,268,139.00","140,348",AXISBANK
6-Apr-23,EQ,861.8,863.25,849,860.5,851.3,851.95,854.22,970,618.25,"19,677,316","16,808,722,254.05","197,757",AXISBANK
5-Apr-23,EQ,871,871,857,864.6,860,860.5,860.63,970,618.25,"11,890,015","10,232,953,006.70","188,518",AXISBANK
3-Apr-23,EQ,864,866.8,856.45,858.5,865.35,864.6,862.05,970,618.25,"13,266,882","11,436,720,768.45","134,998",AXISBANK
31-Mar-23,EQ,854.9,860.9,847.5,842.6,857.1,858.5,853.86,970,618.25,"12,946,752","11,054,759,333.60","246,251",AXISBANK
29-Mar-23,EQ,832.5,848.45,830,832.45,847,842.6,836.05,970,618.25,"17,121,194","14,314,246,634.65","183,152",AXISBANK
28-Mar-23,EQ,837.4,837.4,826.05,833.35,833.65,832.45,831.05,970,618.25,"11,002,402","9,143,530,130.60","169,958",AXISBANK
27-Mar-23,EQ,841.05,842.2,829.2,839.9,832,833.35,835.31,970,618.25,"10,602,508","8,856,424,106.65","220,621",AXISBANK
24-Mar-23,EQ,846.25,852.5,837.25,848.8,840,839.9,845.47,970,618.25,"8,078,718","6,830,275,637.90","196,674",AXISBANK
23-Mar-23,EQ,847,861.15,845.1,849.65,847.7,848.8,854.54,970,618.25,"9,857,892","8,423,939,611.75","161,437",AXISBANK
22-Mar-23,EQ,855.6,859.8,847.05,855.6,850,849.65,852.68,970,618.25,"8,018,924","6,837,608,644.85","139,399",AXISBANK
21-Mar-23,EQ,840.1,857.35,838.75,837.55,854.65,855.6,848.4,970,618.25,"11,489,951","9,748,030,141.05","215,897",AXISBANK
20-Mar-23,EQ,836,841,825.55,837.4,837.35,837.55,831.92,970,618.25,"10,744,023","8,938,134,767.25","231,977",AXISBANK
17-Mar-23,EQ,835,841.5,823,830.55,839.75,837.4,831.96,970,618.25,"7,762,461","6,458,078,587.60","166,943",AXISBANK
16-Mar-23,EQ,821.5,837.9,814.3,824.05,832.5,830.55,826.16,970,618.25,"8,791,383","7,263,122,832.85","270,432",AXISBANK
15-Mar-23,EQ,838.05,843.5,819.35,832.85,822.9,824.05,828.52,970,618.25,"6,652,641","5,511,867,830.65","166,246",AXISBANK
14-Mar-23,EQ,828,835.7,817.4,832.35,834.3,832.85,826.69,970,618.25,"12,573,734","10,394,550,260.65","262,196",AXISBANK
13-Mar-23,EQ,845.6,857,828.45,851.9,832,832.35,840.02,970,618.25,"8,315,798","6,985,399,708.85","175,088",AXISBANK
10-Mar-23,EQ,859.6,861.6,845.5,867.8,851,851.9,852.9,970,618.25,"11,198,583","9,551,257,752.90","179,679",AXISBANK
