Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,377,378.7,374.15,376.8,375.55,374.75,376.17,380.45,288.05,"1,517,385","570,798,404.85","32,248",BPCL
16-Jun-23,EQ,377,378.7,374.4,378.9,376,376.8,376.21,380.45,288.05,"2,139,294","804,814,269.95","36,804",BPCL
15-Jun-23,EQ,375.1,380.45,373,373.55,378.95,378.9,378.44,380.45,288.05,"6,105,440","2,310,541,466.75","62,008",BPCL
14-Jun-23,EQ,373.5,378.5,370.9,373.6,373.2,373.55,375.47,378.5,288.05,"3,357,184","1,260,513,957.95","59,087",BPCL
13-Jun-23,EQ,374.5,376.9,372.4,371.65,373.3,373.6,374.57,376.9,288.05,"3,987,317","1,493,537,300.10","51,491",BPCL
12-Jun-23,EQ,360.5,372.5,360.2,359.45,371.4,371.65,367.92,374.9,288.05,"4,717,149","1,735,545,105.10","55,166",BPCL
9-Jun-23,EQ,361.1,364,358.8,361.1,360.25,359.45,361.41,374.9,288.05,"1,542,985","557,650,224.55","25,542",BPCL
8-Jun-23,EQ,367.6,367.6,360.3,368.1,362,361.1,362.46,374.9,288.05,"3,582,191","1,298,405,437.15","51,931",BPCL
7-Jun-23,EQ,357,369.5,356.75,356.15,367.9,368.1,365.64,374.9,288.05,"6,415,428","2,345,727,301.45","68,625",BPCL
6-Jun-23,EQ,357.05,359,354.6,356.8,356.75,356.15,356.69,374.9,288.05,"2,106,537","751,388,003.95","30,707",BPCL
5-Jun-23,EQ,360.1,362,355,360.05,357,356.8,356.71,374.9,288.05,"2,929,068","1,044,828,754.45","30,904",BPCL
2-Jun-23,EQ,364.6,366.8,359.1,364.55,359.8,360.05,362.85,374.9,288.05,"3,466,237","1,257,716,239.00","46,335",BPCL
1-Jun-23,EQ,365.3,368.9,364.1,363.5,364.5,364.55,366.23,374.9,288.05,"1,768,641","647,731,990.90","33,810",BPCL
31-May-23,EQ,360.4,366.45,360.2,360.4,364.6,363.5,363.67,374.9,288.05,"11,607,240","4,221,202,480.80","61,028",BPCL
30-May-23,EQ,363,364,360,361.7,360.2,360.4,361.46,374.9,288.05,"1,361,344","492,073,361.65","33,824",BPCL
29-May-23,EQ,364.3,367.3,361,364.3,362.5,361.7,363.12,374.9,288.05,"1,170,519","425,043,552.40","25,907",BPCL
26-May-23,EQ,365,367,363.1,363.3,364.05,364.3,364.44,374.9,288.05,"1,092,796","398,256,155.45","20,938",BPCL
25-May-23,EQ,363,364.2,360.35,363.3,364,363.3,362.23,374.9,288.05,"1,676,285","607,201,997.20","23,700",BPCL
24-May-23,EQ,366.55,369.1,361.85,366.6,364,363.3,365.7,374.9,288.05,"1,875,480","685,865,288.45","27,653",BPCL
23-May-23,EQ,367,371,365,361.6,366.2,366.6,368.17,374.9,288.05,"5,971,589","2,198,566,504.25","73,959",BPCL
22-May-23,EQ,361.95,362.75,358.55,360.3,362.1,361.6,360.94,374.9,288.05,"1,603,444","578,746,575.90","30,470",BPCL
19-May-23,EQ,360.1,362.5,357.6,360.7,360.95,360.3,359.84,374.9,288.05,"1,157,763","416,607,880.35","21,350",BPCL
18-May-23,EQ,366,366,360.1,364.75,360.25,360.7,362.99,374.9,288.05,"1,713,445","621,957,821.85","37,790",BPCL
17-May-23,EQ,366.75,369.5,363.95,362.3,364.7,364.75,366.61,374.9,288.05,"3,879,878","1,422,421,262.00","57,236",BPCL
16-May-23,EQ,358.25,366.3,357,357,363,362.3,361.7,374.9,288.05,"3,786,371","1,369,515,581.55","56,965",BPCL
15-May-23,EQ,362,363.85,356.35,361.9,356.9,357,359.04,374.9,288.05,"2,404,765","863,417,729.20","70,816",BPCL
12-May-23,EQ,371.9,371.9,359,372.55,362.15,361.9,362.12,374.9,288.05,"3,895,907","1,410,801,915.10","58,000",BPCL
11-May-23,EQ,373.15,374.9,371.5,372.15,372.05,372.55,373.42,374.9,288.05,"1,693,684","632,461,633.65","34,295",BPCL
10-May-23,EQ,368,373,365.4,367.05,371.7,372.15,370.41,373,288.05,"2,780,978","1,030,088,711.20","49,366",BPCL
9-May-23,EQ,365.85,370,364.7,367.7,366.3,367.05,367.17,370,288.05,"2,089,839","767,321,551.35","34,601",BPCL
8-May-23,EQ,365.45,368.7,362.45,365.45,368,367.7,367.25,369.65,288.05,"1,200,364","440,831,698.00","24,832",BPCL
5-May-23,EQ,367.1,369.65,364.05,368.35,364.3,365.45,366.93,371.4,288.05,"1,650,115","605,484,769.30","30,945",BPCL
4-May-23,EQ,363.8,369.15,361.15,360.8,367.4,368.35,367.06,371.4,288.05,"4,141,143","1,520,035,231.25","61,831",BPCL
3-May-23,EQ,363.25,367.8,359.85,361.1,360.6,360.8,362.6,371.4,288.05,"4,356,479","1,579,679,148.45","48,750",BPCL
2-May-23,EQ,358.3,364.9,358,357.6,360.6,361.1,361.58,371.4,288.05,"3,212,980","1,161,747,223.35","72,369",BPCL
28-Apr-23,EQ,356,358.3,352.45,355.65,356.3,357.6,356.18,385.95,288.05,"3,371,468","1,200,854,697.40","45,255",BPCL
27-Apr-23,EQ,350,356.5,348.85,349,355,355.65,353.42,385.95,288.05,"3,635,526","1,284,883,384.60","60,151",BPCL
26-Apr-23,EQ,346.8,349.5,345.1,347.5,348.85,349,348.19,385.95,288.05,"1,319,897","459,573,063.35","27,191",BPCL
25-Apr-23,EQ,345.25,348.55,345.25,347.2,346.9,347.5,347.61,385.95,288.05,"1,542,196","536,090,237.75","25,848",BPCL
24-Apr-23,EQ,346.2,347.8,342.75,346.2,346.5,347.2,345.33,385.95,288.05,"2,122,912","733,103,036.75","31,233",BPCL
21-Apr-23,EQ,343.8,348.9,342.6,343.7,345.65,346.2,346.96,398.8,288.05,"3,276,344","1,136,756,552.90","50,785",BPCL
20-Apr-23,EQ,343.95,345,341.35,342,343.65,343.7,343.4,398.8,288.05,"2,432,509","835,311,762.15","39,027",BPCL
