Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"1,006.25","1,017.55",999.2,"1,006.05","1,015.50","1,011.25","1,009.72","1,185.25",852,"1,015,057","1,024,920,371.30","43,906",CIPLA
16-Jun-23,EQ,"1,000.00","1,007.15",993.75,998.2,"1,006.25","1,006.05","1,002.31","1,185.25",852,"1,572,197","1,575,826,479.45","54,646",CIPLA
15-Jun-23,EQ,981.95,"1,000.00",980.6,978.7,998.1,998.2,992.72,"1,185.25",852,"1,804,458","1,791,326,970.75","86,016",CIPLA
14-Jun-23,EQ,981.5,981.9,972.6,981.5,979,978.7,977.72,"1,185.25",852,"1,831,109","1,790,309,971.55","37,371",CIPLA
13-Jun-23,EQ,963,983.85,957,959.95,982.15,981.5,969.37,"1,185.25",852,"2,158,120","2,092,014,010.60","49,498",CIPLA
12-Jun-23,EQ,973.25,973.25,955.15,969.25,960.5,959.95,963.31,"1,185.25",852,"1,239,721","1,194,229,879.60","33,080",CIPLA
9-Jun-23,EQ,966,971,959.15,965.4,970,969.25,966.65,"1,185.25",852,"717,024","693,113,200.60","21,010",CIPLA
8-Jun-23,EQ,964.9,969.85,963,960.45,965.85,965.4,966.07,"1,185.25",852,"1,481,632","1,431,357,288.85","36,018",CIPLA
7-Jun-23,EQ,972.95,977.9,958.5,972.05,962.5,960.45,965.57,"1,185.25",852,"1,614,117","1,558,541,573.45","66,948",CIPLA
6-Jun-23,EQ,972.9,974.95,964.05,974.8,973.5,972.05,970.15,"1,185.25",852,"2,079,735","2,017,648,115.75","54,498",CIPLA
5-Jun-23,EQ,970,976.9,959.15,965.85,975.75,974.8,970.44,"1,185.25",852,"1,469,770","1,426,322,379.60","48,766",CIPLA
2-Jun-23,EQ,965.9,969.65,954.65,964.75,965,965.85,962.04,"1,185.25",852,"1,098,485","1,056,789,964.50","43,430",CIPLA
1-Jun-23,EQ,950,966.5,946.75,953.05,964.1,964.75,959.4,"1,185.25",852,"1,132,919","1,086,919,301.85","37,737",CIPLA
31-May-23,EQ,960.2,965,942.3,959.85,949,953.05,955.66,"1,185.25",852,"3,561,991","3,404,054,382.50","50,763",CIPLA
30-May-23,EQ,957.6,961.5,951,956.25,959,959.85,957.82,"1,185.25",852,"1,337,311","1,280,902,582.70","54,859",CIPLA
29-May-23,EQ,952,959.2,945.1,951.35,953.1,956.25,951.25,"1,185.25",852,"1,744,868","1,659,804,464.35","47,741",CIPLA
26-May-23,EQ,945.9,952.75,940.5,945.45,950,951.35,948.43,"1,185.25",852,"1,130,476","1,072,176,480.40","53,861",CIPLA
25-May-23,EQ,941.45,947,935,938,945.5,945.45,943.05,"1,185.25",852,"2,178,211","2,054,166,504.30","46,284",CIPLA
24-May-23,EQ,923.5,939.9,923.5,930.4,937.9,938,934.02,"1,185.25",852,"1,034,319","966,077,897.40","41,311",CIPLA
23-May-23,EQ,926.4,932.3,919.5,924.95,931.3,930.4,928.57,"1,185.25",852,"1,577,827","1,465,130,219.40","34,791",CIPLA
22-May-23,EQ,916.25,931.05,915.45,916.25,924.5,924.95,925.64,"1,185.25",852,"1,402,783","1,298,467,749.30","50,791",CIPLA
19-May-23,EQ,917,922,913,914.5,917,916.25,917.15,"1,185.25",852,"1,168,086","1,071,308,384.20","36,598",CIPLA
18-May-23,EQ,929,929.65,911.55,923.95,916,914.5,918.2,"1,185.25",852,"1,881,606","1,727,681,954.40","69,741",CIPLA
17-May-23,EQ,924.95,932,917,922.1,922.15,923.95,923.85,"1,185.25",852,"1,866,976","1,724,798,436.65","79,339",CIPLA
16-May-23,EQ,927.4,942.65,918.4,922.8,920,922.1,930.47,"1,185.25",852,"2,964,696","2,758,547,373.85","101,341",CIPLA
15-May-23,EQ,940,940,896.85,937.45,921.45,922.8,913.08,"1,185.25",852,"5,487,301","5,010,331,712.50","312,509",CIPLA
12-May-23,EQ,948.85,953,913,943.6,931.5,937.45,942.43,"1,185.25",852,"3,850,078","3,628,444,421.25","88,942",CIPLA
11-May-23,EQ,946.45,947,935,944.4,943,943.6,942.27,"1,185.25",852,"1,537,103","1,448,373,644.00","48,086",CIPLA
10-May-23,EQ,943.5,946.7,933.2,939.2,946.15,944.4,939.85,"1,185.25",852,"1,618,668","1,521,300,967.25","47,645",CIPLA
9-May-23,EQ,935,943,929.1,933.3,940,939.2,937.44,"1,185.25",852,"2,657,968","2,491,678,044.50","73,908",CIPLA
8-May-23,EQ,927.2,934.9,919.65,924.8,933.95,933.3,924.2,"1,185.25",852,"3,877,794","3,583,838,199.10","51,913",CIPLA
5-May-23,EQ,935,935.2,920.85,933.5,922,924.8,925.25,"1,185.25",852,"2,262,141","2,093,050,381.40","50,346",CIPLA
4-May-23,EQ,920.65,935.4,920.65,920.65,932.5,933.5,930.07,"1,185.25",852,"3,393,228","3,155,948,163.40","76,522",CIPLA
3-May-23,EQ,920.95,924.5,917,917.7,920.5,920.65,920.88,"1,185.25",852,"2,566,561","2,363,503,209.55","54,656",CIPLA
2-May-23,EQ,910.4,921,906.1,908.05,919.05,917.7,912.48,"1,185.25",852,"1,857,324","1,694,766,414.10","58,781",CIPLA
28-Apr-23,EQ,918.85,919,905.15,913.95,908.95,908.05,909.07,"1,185.25",852,"2,695,819","2,450,695,003.90","61,689",CIPLA
27-Apr-23,EQ,911.2,917.3,903,911.1,917.2,913.95,909.16,"1,185.25",852,"2,457,652","2,234,402,342.15","52,685",CIPLA
