Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"3,581.85","3,624.00","3,572.45","3,579.60","3,585.95","3,584.75","3,598.65","3,973.90","2,730.00","299,174","1,076,623,791.30","23,765",DIVISLAB
16-Jun-23,EQ,"3,603.05","3,633.10","3,570.00","3,581.05","3,575.00","3,579.60","3,601.24","3,973.90","2,730.00","633,543","2,281,538,116.35","49,392",DIVISLAB
15-Jun-23,EQ,"3,499.95","3,591.00","3,487.35","3,485.95","3,578.00","3,581.05","3,568.46","3,973.90","2,730.00","955,066","3,408,118,863.50","63,062",DIVISLAB
14-Jun-23,EQ,"3,495.00","3,507.40","3,462.05","3,487.70","3,486.00","3,485.95","3,481.24","3,973.90","2,730.00","208,081","724,379,309.75","23,138",DIVISLAB
13-Jun-23,EQ,"3,438.45","3,493.95","3,435.00","3,438.45","3,487.05","3,487.70","3,476.72","3,973.90","2,730.00","367,056","1,276,151,462.10","27,941",DIVISLAB
12-Jun-23,EQ,"3,309.00","3,467.45","3,308.95","3,428.75","3,438.00","3,438.45","3,416.72","3,973.90","2,730.00","799,646","2,732,169,105.05","63,745",DIVISLAB
9-Jun-23,EQ,"3,481.05","3,498.95","3,420.00","3,499.70","3,429.80","3,428.75","3,451.45","3,973.90","2,730.00","325,701","1,124,142,114.60","27,716",DIVISLAB
8-Jun-23,EQ,"3,549.00","3,554.60","3,489.05","3,542.10","3,497.00","3,499.70","3,521.00","3,973.90","2,730.00","434,625","1,530,312,479.20","35,196",DIVISLAB
7-Jun-23,EQ,"3,555.00","3,570.00","3,526.00","3,537.90","3,541.70","3,542.10","3,549.58","3,973.90","2,730.00","392,590","1,393,530,370.00","28,926",DIVISLAB
6-Jun-23,EQ,"3,462.95","3,544.00","3,441.15","3,462.30","3,539.55","3,537.90","3,502.89","3,973.90","2,730.00","503,263","1,762,877,382.85","44,222",DIVISLAB
5-Jun-23,EQ,"3,517.95","3,524.75","3,455.00","3,511.60","3,466.00","3,462.30","3,470.80","3,973.90","2,730.00","633,073","2,197,270,239.45","36,681",DIVISLAB
2-Jun-23,EQ,"3,525.00","3,554.45","3,495.00","3,525.40","3,524.20","3,511.60","3,516.64","3,973.90","2,730.00","477,154","1,677,980,064.80","45,670",DIVISLAB
1-Jun-23,EQ,"3,451.55","3,562.00","3,443.60","3,443.60","3,531.40","3,525.40","3,531.80","3,973.90","2,730.00","791,714","2,796,178,820.80","60,381",DIVISLAB
