Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"3,567.80","3,569.15","3,493.00","3,538.90","3,505.00","3,496.65","3,520.62","3,889.65","2,599.95","336,012","1,182,969,616.35","40,539",EICHERMOT
16-Jun-23,EQ,"3,550.00","3,563.90","3,490.00","3,534.70","3,543.50","3,538.90","3,523.49","3,889.65","2,585.05","610,093","2,149,654,581.05","59,515",EICHERMOT
15-Jun-23,EQ,"3,588.90","3,608.80","3,530.00","3,572.05","3,530.20","3,534.70","3,566.86","3,889.65","2,585.05","428,887","1,529,778,161.30","43,499",EICHERMOT
14-Jun-23,EQ,"3,615.00","3,642.30","3,563.15","3,592.65","3,582.00","3,572.05","3,587.47","3,889.65","2,585.05","456,603","1,638,049,907.90","27,368",EICHERMOT
13-Jun-23,EQ,"3,599.95","3,640.75","3,583.00","3,590.60","3,595.00","3,592.65","3,609.89","3,889.65","2,585.05","612,123","2,209,697,187.60","38,856",EICHERMOT
12-Jun-23,EQ,"3,595.00","3,616.50","3,556.00","3,581.30","3,590.00","3,590.60","3,587.91","3,889.65","2,585.05","358,856","1,287,544,251.45","32,939",EICHERMOT
9-Jun-23,EQ,"3,652.00","3,667.20","3,576.10","3,657.40","3,586.95","3,581.30","3,608.96","3,889.65","2,585.05","447,350","1,614,470,483.15","40,717",EICHERMOT
8-Jun-23,EQ,"3,727.10","3,727.10","3,644.40","3,727.40","3,666.90","3,657.40","3,673.76","3,889.65","2,585.05","511,175","1,877,935,743.20","40,962",EICHERMOT
7-Jun-23,EQ,"3,705.10","3,740.00","3,697.20","3,705.10","3,714.00","3,727.40","3,722.61","3,889.65","2,585.05","342,012","1,273,178,044.60","35,312",EICHERMOT
6-Jun-23,EQ,"3,680.10","3,722.00","3,680.00","3,673.25","3,704.10","3,705.10","3,703.72","3,889.65","2,585.05","385,907","1,429,290,892.40","43,240",EICHERMOT
5-Jun-23,EQ,"3,713.15","3,717.50","3,665.10","3,699.40","3,684.00","3,673.25","3,686.37","3,889.65","2,585.05","340,655","1,255,778,876.00","26,788",EICHERMOT
2-Jun-23,EQ,"3,720.00","3,748.00","3,657.00","3,716.05","3,711.00","3,699.40","3,685.70","3,889.65","2,585.05","987,424","3,639,349,929.25","69,237",EICHERMOT
1-Jun-23,EQ,"3,713.70","3,733.00","3,687.00","3,671.95","3,700.60","3,716.05","3,714.81","3,889.65","2,585.05","622,442","2,312,255,185.20","55,797",EICHERMOT
