Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"1,611.00","1,614.25","1,598.35","1,602.75","1,604.90","1,604.15","1,606.00","1,734.45","1,294.15","12,414,573","19,937,759,557.10","162,051",HDFCBANK
16-Jun-23,EQ,"1,587.15","1,609.20","1,584.00","1,582.05","1,602.50","1,602.75","1,598.25","1,734.45","1,271.60","7,889,636","12,609,594,950.00","181,546",HDFCBANK
15-Jun-23,EQ,"1,604.00","1,605.95","1,579.00","1,601.75","1,580.55","1,582.05","1,590.41","1,734.45","1,271.60","17,688,738","28,132,406,376.20","271,848",HDFCBANK
14-Jun-23,EQ,"1,610.45","1,612.00","1,600.20","1,603.50","1,601.75","1,601.75","1,606.76","1,734.45","1,271.60","10,056,984","16,159,116,681.25","174,004",HDFCBANK
13-Jun-23,EQ,"1,590.10","1,609.00","1,590.10","1,600.80","1,607.95","1,603.50","1,602.57","1,734.45","1,271.60","13,963,054","22,376,805,987.05","184,386",HDFCBANK
12-Jun-23,EQ,"1,612.55","1,615.80","1,599.45","1,610.60","1,600.90","1,600.80","1,604.34","1,734.45","1,271.60","6,704,146","10,755,748,258.60","156,138",HDFCBANK
9-Jun-23,EQ,"1,615.90","1,618.50","1,607.00","1,608.70","1,609.50","1,610.60","1,613.79","1,734.45","1,271.60","9,106,289","14,695,639,541.25","185,235",HDFCBANK
8-Jun-23,EQ,"1,603.25","1,626.00","1,603.25","1,607.70","1,608.35","1,608.70","1,617.05","1,734.45","1,271.60","18,697,761","30,235,256,021.30","268,888",HDFCBANK
7-Jun-23,EQ,"1,603.45","1,612.55","1,596.00","1,599.40","1,611.50","1,607.70","1,602.11","1,734.45","1,271.60","12,474,513","19,985,540,209.25","176,230",HDFCBANK
6-Jun-23,EQ,"1,607.65","1,609.85","1,592.25","1,604.40","1,605.00","1,599.40","1,598.09","1,734.45","1,271.60","16,091,426","25,715,616,381.45","233,706",HDFCBANK
