Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,609.95,629,602.1,609.55,628,626.55,614.09,629,457.8,"7,087,287","4,352,199,638.30","147,153",HDFCLIFE
16-Jun-23,EQ,577.8,615,576.6,578.15,610.2,609.55,604.73,620.6,457.8,"11,422,524","6,907,527,241.90","154,233",HDFCLIFE
15-Jun-23,EQ,585.05,585.05,574,585.05,577,578.15,577.53,620.6,457.8,"2,074,065","1,197,837,794.15","46,278",HDFCLIFE
14-Jun-23,EQ,584.8,589.45,581.8,584.8,583.8,585.05,585.67,620.6,457.8,"5,344,073","3,129,846,318.05","45,800",HDFCLIFE
13-Jun-23,EQ,582.25,587,581,584.4,584.4,584.8,584.7,620.6,457.8,"3,288,950","1,923,042,625.60","45,277",HDFCLIFE
12-Jun-23,EQ,585.95,591,581.45,581.7,584.85,584.4,585.51,620.6,457.8,"3,327,440","1,948,235,658.70","61,103",HDFCLIFE
9-Jun-23,EQ,587.95,593.7,576.75,593.9,582,581.7,583.68,620.6,457.8,"3,023,579","1,764,802,025.75","65,566",HDFCLIFE
8-Jun-23,EQ,594.45,597.4,589.8,594.45,595,593.9,594.51,620.6,457.8,"1,675,907","996,337,955.40","47,428",HDFCLIFE
7-Jun-23,EQ,583,595.5,582.7,579.7,595.2,594.45,592.15,620.6,457.8,"3,440,284","2,037,160,153.55","67,541",HDFCLIFE
6-Jun-23,EQ,574.15,582.75,567.9,574.15,582.6,579.7,574.21,620.6,457.8,"3,334,157","1,914,494,896.50","77,937",HDFCLIFE
5-Jun-23,EQ,578.05,580.95,573,576.4,573.2,574.15,575.95,620.6,457.8,"2,230,529","1,284,670,486.00","55,141",HDFCLIFE
2-Jun-23,EQ,585.3,586,572.95,582.2,576.1,576.4,577.8,620.6,457.8,"3,192,761","1,844,793,257.30","67,255",HDFCLIFE
1-Jun-23,EQ,593.45,594.45,581,592.35,581,582.2,586.81,620.6,457.8,"1,659,264","973,678,090.05","51,264",HDFCLIFE
31-May-23,EQ,603,603.7,584.25,585.15,593.3,592.35,592.04,620.6,457.8,"10,027,475","5,936,681,163.20","109,999",HDFCLIFE
30-May-23,EQ,576,589,571,579.05,589,585.15,577.66,620.6,457.8,"2,653,926","1,533,060,765.45","56,274",HDFCLIFE
29-May-23,EQ,577.3,588.45,575,577.2,578.7,579.05,581.85,620.6,457.8,"2,794,717","1,626,116,224.55","64,398",HDFCLIFE
26-May-23,EQ,572,578.85,569.35,572.05,577,577.2,574.51,620.6,457.8,"1,467,444","843,056,721.10","40,819",HDFCLIFE
25-May-23,EQ,566,573.7,563.05,566,573,572.05,570.02,620.6,457.8,"1,307,797","745,476,917.15","27,422",HDFCLIFE
24-May-23,EQ,562.6,571.95,558.9,562.7,567,566,566.21,620.6,457.8,"1,529,396","865,962,417.45","34,078",HDFCLIFE
23-May-23,EQ,567.7,573.75,561.15,567,562.6,562.7,565.81,620.6,457.8,"3,425,506","1,938,176,341.50","72,221",HDFCLIFE
22-May-23,EQ,557,569.2,554.5,557.6,565.55,567,564.72,620.6,457.8,"1,975,841","1,115,789,080.15","40,134",HDFCLIFE
19-May-23,EQ,564.9,564.9,554.95,561.55,556.95,557.6,558.31,620.6,457.8,"1,484,899","829,040,088.85","33,676",HDFCLIFE
18-May-23,EQ,564,568.8,559.3,560.1,562.35,561.55,564.33,620.6,457.8,"1,745,334","984,946,003.05","40,777",HDFCLIFE
17-May-23,EQ,562,562.75,552.4,559.5,557.95,560.1,557.75,620.6,457.8,"1,395,385","778,269,850.70","41,302",HDFCLIFE
16-May-23,EQ,562.2,563.5,554,559.3,559.25,559.5,558.51,620.6,457.8,"3,027,008","1,690,615,281.45","78,078",HDFCLIFE
15-May-23,EQ,559.9,563.05,556.3,560.65,559,559.3,559.26,620.6,457.8,"1,984,609","1,109,920,776.25","52,818",HDFCLIFE
12-May-23,EQ,567.4,569,558.65,567.4,561.85,560.65,563.86,620.6,457.8,"1,433,810","808,465,293.80","54,606",HDFCLIFE
11-May-23,EQ,562.05,569.4,561.05,562.65,567,567.4,566.84,620.6,457.8,"1,620,276","918,438,763.20","41,925",HDFCLIFE
10-May-23,EQ,553.4,563.5,551.15,552.05,562,562.65,560.3,620.6,457.8,"3,191,516","1,788,196,752.45","60,001",HDFCLIFE
9-May-23,EQ,552.5,557.45,549.6,549.55,551.25,552.05,553.66,620.6,457.8,"1,927,306","1,067,077,945.65","53,013",HDFCLIFE
8-May-23,EQ,542,551,540,539.7,550.1,549.55,547.68,620.6,457.8,"1,970,280","1,079,089,606.95","54,767",HDFCLIFE
5-May-23,EQ,543,548.75,537.5,546.5,540.6,539.7,543.13,620.6,457.8,"2,159,574","1,172,928,531.50","50,935",HDFCLIFE
4-May-23,EQ,539.8,549.75,536.55,538.7,546,546.5,546.2,620.6,457.8,"2,312,821","1,263,258,730.25","48,150",HDFCLIFE
3-May-23,EQ,544,547.85,535.1,544.5,538.45,538.7,540.12,620.6,457.8,"2,875,460","1,553,085,905.55","58,784",HDFCLIFE
2-May-23,EQ,530,545.85,529.55,529.75,544.25,544.5,539.18,620.6,457.8,"4,239,067","2,285,632,926.20","94,544",HDFCLIFE
28-Apr-23,EQ,517.1,531,516.45,517.85,530.45,529.75,525.97,620.6,457.8,"4,031,679","2,120,532,120.40","57,070",HDFCLIFE
27-Apr-23,EQ,530.1,530.1,516.05,531.6,519.75,517.85,518.74,620.6,457.8,"7,978,904","4,138,963,231.55","134,104",HDFCLIFE
26-Apr-23,EQ,529,536.9,528.6,529.75,530.9,531.6,532.16,620.6,457.8,"4,165,761","2,216,869,552.35","79,408",HDFCLIFE
25-Apr-23,EQ,546.15,546.85,528,547.55,528.75,529.75,536.61,620.6,457.8,"6,700,461","3,595,510,005.55","109,838",HDFCLIFE
24-Apr-23,EQ,551,555.55,532,513.3,546.15,547.55,543.31,620.6,457.8,"23,496,385","12,765,877,133.30","264,927",HDFCLIFE
21-Apr-23,EQ,536,541.25,511.4,530.25,513.5,513.3,520.82,620.6,457.8,"4,452,849","2,319,137,051.70","94,884",HDFCLIFE
20-Apr-23,EQ,525,531.6,522.8,524.8,529.8,530.25,528.9,620.6,457.8,"1,561,641","825,954,709.60","41,778",HDFCLIFE
19-Apr-23,EQ,532.5,532.95,523.35,532.3,524.95,524.8,527.36,620.6,457.8,"1,622,301","855,540,764.60","46,040",HDFCLIFE
18-Apr-23,EQ,537,540,529.5,533.4,533,532.3,535.16,620.6,457.8,"2,514,020","1,345,410,789.35","75,402",HDFCLIFE
17-Apr-23,EQ,542.5,542.5,529.3,531.85,532.9,533.4,532.66,620.6,457.8,"3,417,617","1,820,416,559.45","51,650",HDFCLIFE
13-Apr-23,EQ,519.65,533.5,518.5,517.05,531.35,531.85,527.09,620.6,457.8,"4,153,200","2,189,103,714.05","82,860",HDFCLIFE
12-Apr-23,EQ,514,518.45,509.55,513.55,517.95,517.05,514.9,620.6,457.8,"1,950,603","1,004,359,732.60","62,514",HDFCLIFE
11-Apr-23,EQ,516.8,522.8,512.75,513.7,512.9,513.55,517.21,620.6,457.8,"3,671,457","1,898,913,629.95","65,604",HDFCLIFE
10-Apr-23,EQ,514.65,520.3,511.65,514.65,514,513.7,514.5,620.6,457.8,"2,375,216","1,222,056,514.85","45,346",HDFCLIFE
6-Apr-23,EQ,506.1,516.9,505.25,507.75,514.95,514.65,512.66,620.6,457.8,"2,416,882","1,239,035,942.90","50,332",HDFCLIFE
5-Apr-23,EQ,503.7,511.95,503.7,503.7,507,507.75,509.34,620.6,457.8,"4,270,479","2,175,143,860.10","59,652",HDFCLIFE
3-Apr-23,EQ,502.05,508.5,501.25,499.2,505,503.7,505.03,620.6,457.8,"2,394,944","1,209,518,913.30","59,491",HDFCLIFE
31-Mar-23,EQ,497,501.2,495,495.95,501,499.2,498.17,620.6,457.8,"3,459,342","1,723,325,810.95","75,810",HDFCLIFE
29-Mar-23,EQ,491.3,498,486.7,489.7,497,495.95,492.26,620.6,457.8,"3,137,010","1,544,221,755.45","64,278",HDFCLIFE
28-Mar-23,EQ,495.45,498.5,486.85,492.95,490.95,489.7,492.12,620.6,457.8,"2,494,157","1,227,430,786.50","56,925",HDFCLIFE
27-Mar-23,EQ,486.65,499.45,486.65,492.25,492.4,492.95,494.99,620.6,457.8,"2,412,510","1,194,161,315.30","70,548",HDFCLIFE
24-Mar-23,EQ,494.5,501.9,481.6,498.55,491.3,492.25,491.59,620.6,457.8,"6,424,544","3,158,214,308.00","132,853",HDFCLIFE
23-Mar-23,EQ,497.45,505,494.15,497.45,498.2,498.55,500.51,620.6,457.8,"4,489,138","2,246,880,829.45","73,912",HDFCLIFE
22-Mar-23,EQ,483,498.5,483,482.75,497,497.45,494.49,620.6,457.8,"5,604,187","2,771,190,884.15","119,082",HDFCLIFE
21-Mar-23,EQ,467,484,466.5,465.25,483,482.75,479.51,620.6,457.8,"4,363,583","2,092,398,535.30","134,282",HDFCLIFE
20-Mar-23,EQ,470,471.4,458.1,471.25,465.5,465.25,462.14,620.6,457.8,"3,937,830","1,819,832,465.85","100,216",HDFCLIFE
17-Mar-23,EQ,464.05,477.3,464,461.4,471.95,471.25,471.67,620.6,457.8,"7,640,040","3,603,582,165.85","141,022",HDFCLIFE
16-Mar-23,EQ,466.7,469,457.8,466.7,462,461.4,464,620.6,457.8,"6,790,599","3,150,834,657.45","132,573",HDFCLIFE
15-Mar-23,EQ,473.05,478.45,465.1,470.55,466.15,466.7,470.68,620.6,465.1,"6,095,528","2,869,040,776.50","93,960",HDFCLIFE
14-Mar-23,EQ,480.45,485.35,468.75,478.95,471.1,470.55,473.95,620.6,468.75,"8,530,038","4,042,813,003.75","128,543",HDFCLIFE
13-Mar-23,EQ,490,495.5,477.3,490.25,479.5,478.95,485.53,620.6,473.7,"2,849,642","1,383,574,354.20","93,591",HDFCLIFE
10-Mar-23,EQ,487.55,491.15,484.2,491.25,490.5,490.25,488.05,620.6,473.7,"2,383,642","1,163,325,221.35","90,362",HDFCLIFE
9-Mar-23,EQ,495,496.6,490,495.2,490.1,491.25,492.81,620.6,473.7,"2,336,282","1,151,343,634.85","78,140",HDFCLIFE
8-Mar-23,EQ,490,496.35,488,490.15,494.6,495.2,491.39,620.6,473.7,"5,589,817","2,746,753,795.65","85,402",HDFCLIFE
6-Mar-23,EQ,492,496.75,489,489.95,490,490.15,493.17,620.6,473.7,"3,007,451","1,483,172,623.35","89,845",HDFCLIFE
3-Mar-23,EQ,485.3,492.55,481.6,482.8,490.15,489.95,488.76,620.6,473.7,"2,983,486","1,458,209,658.75","63,975",HDFCLIFE
2-Mar-23,EQ,490,491.25,481.65,489.75,482.2,482.8,485.04,620.6,473.7,"2,618,651","1,270,141,309.50","65,434",HDFCLIFE
1-Mar-23,EQ,488.9,490.85,484.4,488.8,489.95,489.75,488.12,620.6,473.7,"1,591,916","777,043,686.15","52,784",HDFCLIFE
28-Feb-23,EQ,490.9,491.7,484.55,488.7,488.9,488.8,488.14,620.6,473.7,"3,271,808","1,597,102,750.70","55,789",HDFCLIFE
