Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,424.25,432,423.05,426.95,426.5,426.15,427.75,504,308.95,"3,950,931","1,690,022,764.50","61,186",HINDALCO
16-Jun-23,EQ,427.7,431.45,425.8,423.05,426.95,426.95,428.54,504,308.95,"7,931,068","3,398,812,222.25","85,951",HINDALCO
15-Jun-23,EQ,424.9,425.65,420.75,425.05,422.95,423.05,423.02,504,308.95,"4,863,359","2,057,281,527.10","65,944",HINDALCO
14-Jun-23,EQ,427,430,424.15,421.4,424.5,425.05,426.62,504,308.95,"7,213,168","3,077,251,192.65","88,806",HINDALCO
13-Jun-23,EQ,419,424,416.9,416.8,421.45,421.4,420.96,504,308.95,"4,247,391","1,787,984,412.05","49,464",HINDALCO
12-Jun-23,EQ,417.95,421,414,415.05,417.6,416.8,417.51,504,308.95,"2,813,911","1,174,841,110.50","47,195",HINDALCO
9-Jun-23,EQ,421.85,421.85,414.5,418.25,414.9,415.05,416.17,504,308.95,"3,518,826","1,464,417,355.65","57,660",HINDALCO
8-Jun-23,EQ,423.95,425.7,417.7,422.6,419,418.25,421.9,504,308.95,"5,571,023","2,350,403,249.45","78,847",HINDALCO
7-Jun-23,EQ,418,423.7,413.85,415.55,422.05,422.6,418.69,504,308.95,"6,911,473","2,893,791,128.30","63,740",HINDALCO
6-Jun-23,EQ,419.7,422,413.8,419.7,416.1,415.55,416.69,504,308.95,"4,383,684","1,826,633,300.40","54,077",HINDALCO
5-Jun-23,EQ,424.85,426,418.4,420.75,419.3,419.7,420.71,504,308.95,"8,039,709","3,382,382,134.70","78,727",HINDALCO
2-Jun-23,EQ,412.05,421.9,412.05,406.35,420.3,420.75,417.07,504,308.95,"11,695,310","4,877,809,960.25","97,308",HINDALCO
1-Jun-23,EQ,409.05,414.4,405.9,405.9,406.75,406.35,408.99,504,308.95,"4,269,628","1,746,232,236.15","47,238",HINDALCO
31-May-23,EQ,410.5,410.7,404.35,413.1,407.5,405.9,406.53,504,308.95,"22,945,527","9,328,094,378.75","123,809",HINDALCO
