Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"2,702.00","2,711.40","2,675.00","2,715.65","2,689.25","2,683.25","2,689.35","2,741.60","2,108.15","1,068,263","2,872,932,753.15","63,172",HINDUNILVR
16-Jun-23,EQ,"2,689.70","2,724.00","2,683.20","2,689.70","2,714.25","2,715.65","2,707.57","2,741.60","2,100.00","1,748,145","4,733,228,330.20","88,442",HINDUNILVR
15-Jun-23,EQ,"2,713.95","2,717.50","2,678.15","2,698.75","2,688.30","2,689.70","2,694.57","2,741.60","2,100.00","1,830,192","4,931,575,355.70","106,076",HINDUNILVR
14-Jun-23,EQ,"2,671.00","2,702.10","2,652.00","2,675.90","2,698.95","2,698.75","2,680.19","2,741.60","2,100.00","1,536,248","4,117,431,067.65","133,627",HINDUNILVR
13-Jun-23,EQ,"2,629.60","2,697.00","2,627.50","2,643.45","2,669.00","2,675.90","2,679.44","2,741.60","2,100.00","1,787,924","4,790,643,710.70","100,297",HINDUNILVR
12-Jun-23,EQ,"2,645.00","2,657.00","2,633.00","2,636.20","2,649.80","2,643.45","2,645.66","2,741.60","2,100.00","775,484","2,051,667,744.60","59,571",HINDUNILVR
9-Jun-23,EQ,"2,688.95","2,688.95","2,620.10","2,679.90","2,639.95","2,636.20","2,641.03","2,741.60","2,100.00","1,413,808","3,733,916,115.35","94,529",HINDUNILVR
8-Jun-23,EQ,"2,707.00","2,721.55","2,674.90","2,716.20","2,677.65","2,679.90","2,690.37","2,741.60","2,100.00","923,536","2,484,652,686.85","71,040",HINDUNILVR
7-Jun-23,EQ,"2,690.00","2,727.00","2,679.35","2,691.15","2,709.00","2,716.20","2,713.95","2,741.60","2,100.00","1,428,490","3,876,846,606.35","81,231",HINDUNILVR
6-Jun-23,EQ,"2,700.00","2,707.90","2,670.15","2,695.80","2,693.00","2,691.15","2,685.00","2,741.60","2,100.00","655,372","1,759,676,340.00","45,982",HINDUNILVR
5-Jun-23,EQ,"2,716.45","2,722.00","2,684.15","2,716.70","2,702.00","2,695.80","2,695.82","2,741.60","2,100.00","1,000,190","2,696,336,058.55","77,118",HINDUNILVR
2-Jun-23,EQ,"2,710.00","2,738.20","2,691.65","2,697.90","2,711.05","2,716.70","2,722.86","2,741.60","2,100.00","1,509,260","4,109,506,199.55","95,015",HINDUNILVR
1-Jun-23,EQ,"2,667.00","2,731.25","2,654.50","2,667.55","2,691.00","2,697.90","2,705.75","2,741.60","2,100.00","1,541,080","4,169,783,905.90","123,682",HINDUNILVR
31-May-23,EQ,"2,656.55","2,680.00","2,638.00","2,656.55","2,667.65","2,667.55","2,663.64","2,741.60","2,100.00","3,388,305","9,025,215,313.35","105,365",HINDUNILVR
30-May-23,EQ,"2,655.50","2,665.00","2,650.85","2,650.30","2,655.00","2,656.55","2,658.52","2,741.60","2,100.00","948,051","2,520,410,983.00","63,135",HINDUNILVR
29-May-23,EQ,"2,670.00","2,679.55","2,645.05","2,652.35","2,649.50","2,650.30","2,662.94","2,741.60","2,100.00","698,267","1,859,444,941.95","53,571",HINDUNILVR
26-May-23,EQ,"2,603.75","2,656.70","2,603.10","2,597.25","2,652.05","2,652.35","2,630.25","2,741.60","2,100.00","947,073","2,491,037,808.50","52,677",HINDUNILVR
25-May-23,EQ,"2,610.00","2,626.15","2,580.55","2,614.95","2,598.05","2,597.25","2,595.97","2,741.60","2,100.00","1,072,231","2,783,479,757.80","55,384",HINDUNILVR
24-May-23,EQ,"2,620.00","2,638.00","2,608.00","2,628.30","2,615.35","2,614.95","2,620.03","2,741.60","2,100.00","628,872","1,647,666,150.90","62,129",HINDUNILVR
23-May-23,EQ,"2,632.00","2,649.80","2,625.00","2,638.10","2,631.85","2,628.30","2,635.01","2,741.60","2,100.00","703,864","1,854,688,998.70","95,345",HINDUNILVR
22-May-23,EQ,"2,635.00","2,655.45","2,623.05","2,641.45","2,636.00","2,638.10","2,640.05","2,741.60","2,100.00","768,232","2,028,173,313.50","44,256",HINDUNILVR
19-May-23,EQ,"2,628.65","2,649.00","2,600.65","2,627.55","2,641.00","2,641.45","2,623.50","2,741.60","2,100.00","1,174,757","3,081,969,403.45","85,683",HINDUNILVR
18-May-23,EQ,"2,665.50","2,669.20","2,621.85","2,661.75","2,627.00","2,627.55","2,640.55","2,741.60","2,100.00","1,434,067","3,786,723,826.60","94,635",HINDUNILVR
17-May-23,EQ,"2,672.00","2,674.00","2,647.05","2,675.90","2,659.10","2,661.75","2,663.18","2,741.60","2,100.00","839,404","2,235,485,781.50","82,314",HINDUNILVR
16-May-23,EQ,"2,670.00","2,678.40","2,650.60","2,662.25","2,670.10","2,675.90","2,667.98","2,741.60","2,100.00","1,477,905","3,943,016,050.35","83,726",HINDUNILVR
15-May-23,EQ,"2,637.95","2,670.75","2,623.05","2,623.40","2,659.10","2,662.25","2,656.23","2,741.60","2,100.00","1,561,055","4,146,528,318.20","171,332",HINDUNILVR
12-May-23,EQ,"2,594.00","2,640.00","2,586.40","2,592.40","2,619.05","2,623.40","2,621.43","2,741.60","2,100.00","2,170,011","5,688,530,941.25","150,578",HINDUNILVR
11-May-23,EQ,"2,536.95","2,599.00","2,523.60","2,522.70","2,590.00","2,592.40","2,566.19","2,741.60","2,100.00","1,749,356","4,489,171,358.20","106,466",HINDUNILVR
10-May-23,EQ,"2,521.00","2,535.00","2,505.85","2,515.80","2,518.30","2,522.70","2,524.64","2,741.60","2,100.00","2,025,658","5,114,064,638.75","90,860",HINDUNILVR
9-May-23,EQ,"2,525.00","2,525.00","2,500.05","2,516.30","2,514.00","2,515.80","2,510.45","2,741.60","2,100.00","1,651,327","4,145,581,417.15","83,682",HINDUNILVR
8-May-23,EQ,"2,505.75","2,526.85","2,497.15","2,500.75","2,516.95","2,516.30","2,516.56","2,741.60","2,100.00","972,810","2,448,131,241.50","72,102",HINDUNILVR
5-May-23,EQ,"2,500.00","2,520.00","2,494.70","2,506.75","2,501.20","2,500.75","2,506.34","2,741.60","2,100.00","1,354,871","3,395,766,308.10","115,127",HINDUNILVR
4-May-23,EQ,"2,486.95","2,509.35","2,480.15","2,486.00","2,502.50","2,506.75","2,496.17","2,741.60","2,100.00","1,150,227","2,871,161,275.30","120,976",HINDUNILVR
3-May-23,EQ,"2,456.95","2,490.00","2,452.65","2,451.70","2,485.20","2,486.00","2,478.84","2,741.60","2,100.00","1,258,140","3,118,730,037.90","79,036",HINDUNILVR
2-May-23,EQ,"2,471.80","2,478.00","2,450.00","2,457.30","2,450.90","2,451.70","2,459.83","2,741.60","2,100.00","1,760,370","4,330,219,495.00","107,548",HINDUNILVR
28-Apr-23,EQ,"2,436.05","2,467.80","2,419.00","2,468.95","2,458.00","2,457.30","2,437.60","2,741.60","2,047.00","3,761,927","9,170,072,491.45","167,242",HINDUNILVR
27-Apr-23,EQ,"2,513.95","2,522.00","2,457.00","2,510.80","2,469.00","2,468.95","2,475.66","2,741.60","2,047.00","2,743,893","6,792,941,414.45","166,075",HINDUNILVR
26-Apr-23,EQ,"2,490.00","2,518.00","2,482.20","2,490.45","2,514.95","2,510.80","2,501.52","2,741.60","2,047.00","1,245,903","3,116,647,281.95","64,383",HINDUNILVR
25-Apr-23,EQ,"2,490.85","2,499.75","2,478.05","2,499.75","2,489.00","2,490.45","2,487.49","2,741.60","2,047.00","1,701,098","4,231,471,669.80","87,717",HINDUNILVR
24-Apr-23,EQ,"2,502.00","2,504.90","2,475.10","2,497.95","2,500.60","2,499.75","2,489.60","2,741.60","2,047.00","1,735,797","4,321,438,862.05","71,482",HINDUNILVR
21-Apr-23,EQ,"2,492.00","2,509.50","2,485.65","2,492.60","2,499.85","2,497.95","2,495.33","2,741.60","2,047.00","1,206,288","3,010,085,613.00","83,359",HINDUNILVR
20-Apr-23,EQ,"2,517.80","2,532.40","2,480.00","2,531.60","2,493.15","2,492.60","2,500.80","2,741.60","2,047.00","1,401,364","3,504,524,469.00","72,949",HINDUNILVR
19-Apr-23,EQ,"2,548.00","2,548.00","2,510.25","2,541.05","2,523.50","2,531.60","2,525.19","2,741.60","2,047.00","1,320,243","3,333,869,919.70","65,279",HINDUNILVR
18-Apr-23,EQ,"2,560.00","2,560.00","2,530.00","2,551.85","2,538.25","2,541.05","2,542.15","2,741.60","2,047.00","1,474,786","3,749,130,497.60","84,791",HINDUNILVR
17-Apr-23,EQ,"2,573.00","2,579.00","2,541.40","2,536.20","2,555.50","2,551.85","2,557.27","2,741.60","2,047.00","1,566,977","4,007,182,805.45","91,781",HINDUNILVR
13-Apr-23,EQ,"2,525.00","2,562.35","2,525.00","2,528.95","2,535.40","2,536.20","2,541.30","2,741.60","2,047.00","1,261,711","3,206,388,025.70","78,639",HINDUNILVR
12-Apr-23,EQ,"2,556.00","2,556.00","2,518.65","2,547.75","2,528.10","2,528.95","2,529.02","2,741.60","2,047.00","1,109,809","2,806,727,413.05","92,129",HINDUNILVR
11-Apr-23,EQ,"2,540.00","2,555.00","2,533.00","2,532.15","2,546.00","2,547.75","2,543.09","2,741.60","2,047.00","913,184","2,322,310,096.45","68,971",HINDUNILVR
10-Apr-23,EQ,"2,565.25","2,568.95","2,525.00","2,565.25","2,527.80","2,532.15","2,546.59","2,741.60","2,047.00","853,322","2,173,057,800.05","36,659",HINDUNILVR
6-Apr-23,EQ,"2,575.00","2,585.00","2,553.00","2,582.75","2,564.00","2,565.25","2,567.62","2,741.60","2,047.00","797,414","2,047,458,431.45","51,787",HINDUNILVR
5-Apr-23,EQ,"2,512.50","2,588.55","2,502.00","2,536.10","2,584.00","2,582.75","2,554.88","2,741.60","2,047.00","1,489,612","3,805,785,771.30","77,776",HINDUNILVR
3-Apr-23,EQ,"2,570.00","2,570.00","2,515.05","2,560.35","2,535.00","2,536.10","2,531.20","2,741.60","2,047.00","918,048","2,323,761,361.80","92,564",HINDUNILVR
31-Mar-23,EQ,"2,558.80","2,568.45","2,516.55","2,530.85","2,560.00","2,560.35","2,548.07","2,741.60","1,931.30","2,146,167","5,468,590,097.90","153,560",HINDUNILVR
29-Mar-23,EQ,"2,485.00","2,539.80","2,480.05","2,482.80","2,532.15","2,530.85","2,513.62","2,741.60","1,931.30","2,613,254","6,568,729,600.40","123,198",HINDUNILVR
28-Mar-23,EQ,"2,509.80","2,513.50","2,471.90","2,499.00","2,476.00","2,482.80","2,491.63","2,741.60","1,931.30","1,412,387","3,519,151,667.90","60,042",HINDUNILVR
27-Mar-23,EQ,"2,485.00","2,505.00","2,464.00","2,480.80","2,490.80","2,499.00","2,491.61","2,741.60","1,931.30","1,387,736","3,457,696,951.15","65,834",HINDUNILVR
24-Mar-23,EQ,"2,472.20","2,497.90","2,470.00","2,485.10","2,483.00","2,480.80","2,483.09","2,741.60","1,931.30","1,449,326","3,598,808,934.35","55,243",HINDUNILVR
23-Mar-23,EQ,"2,475.00","2,500.05","2,466.00","2,476.35","2,488.00","2,485.10","2,485.62","2,741.60","1,931.30","1,578,627","3,923,866,617.10","77,464",HINDUNILVR
22-Mar-23,EQ,"2,472.60","2,481.40","2,454.40","2,462.60","2,475.05","2,476.35","2,468.11","2,741.60","1,931.30","1,063,244","2,624,202,747.00","58,414",HINDUNILVR
21-Mar-23,EQ,"2,515.00","2,523.25","2,458.75","2,511.20","2,464.00","2,462.60","2,486.91","2,741.60","1,931.30","1,595,161","3,967,016,170.30","90,098",HINDUNILVR
20-Mar-23,EQ,"2,447.40","2,516.65","2,425.00","2,447.40","2,508.90","2,511.20","2,480.06","2,741.60","1,931.30","1,561,128","3,871,690,543.00","100,432",HINDUNILVR
17-Mar-23,EQ,"2,471.65","2,483.20","2,439.80","2,459.35","2,454.95","2,447.40","2,452.96","2,741.60","1,931.30","2,127,178","5,217,875,153.85","94,990",HINDUNILVR
16-Mar-23,EQ,"2,424.95","2,469.30","2,407.75","2,406.10","2,465.00","2,459.35","2,448.65","2,741.60","1,931.30","1,628,035","3,986,489,401.05","109,665",HINDUNILVR
15-Mar-23,EQ,"2,451.90","2,459.50","2,393.00","2,442.45","2,406.95","2,406.10","2,411.58","2,741.60","1,931.30","1,738,040","4,191,429,155.50","162,260",HINDUNILVR
14-Mar-23,EQ,"2,462.00","2,472.00","2,439.75","2,455.10","2,444.00","2,442.45","2,452.43","2,741.60","1,931.30","1,250,763","3,067,403,667.15","59,372",HINDUNILVR
13-Mar-23,EQ,"2,466.00","2,488.50","2,445.00","2,465.45","2,454.90","2,455.10","2,461.28","2,741.60","1,931.30","1,314,549","3,235,471,319.15","63,432",HINDUNILVR
