Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"1,294.00","1,299.50","1,287.05","1,291.65","1,292.50","1,294.00","1,292.58","1,672.60","1,185.30","4,451,787","5,754,281,563.90","123,872",INFY
16-Jun-23,EQ,"1,287.00","1,301.50","1,281.05","1,286.80","1,290.00","1,291.65","1,290.23","1,672.60","1,185.30","8,536,287","11,013,781,162.55","185,318",INFY
15-Jun-23,EQ,"1,293.95","1,293.95","1,282.65","1,300.40","1,287.00","1,286.80","1,287.49","1,672.60","1,185.30","6,161,155","7,932,447,626.70","190,175",INFY
14-Jun-23,EQ,"1,306.35","1,306.70","1,293.20","1,304.85","1,302.00","1,300.40","1,298.26","1,672.60","1,185.30","3,457,981","4,489,368,747.25","154,625",INFY
13-Jun-23,EQ,"1,299.90","1,306.50","1,297.05","1,291.95","1,304.90","1,304.85","1,303.05","1,672.60","1,185.30","4,846,587","6,315,361,306.70","238,816",INFY
12-Jun-23,EQ,"1,273.50","1,295.70","1,273.00","1,265.95","1,292.65","1,291.95","1,288.72","1,672.60","1,185.30","4,785,588","6,167,263,779.80","205,416",INFY
9-Jun-23,EQ,"1,282.50","1,282.50","1,264.00","1,282.80","1,266.60","1,265.95","1,268.53","1,672.60","1,185.30","5,339,073","6,772,791,477.40","230,254",INFY
8-Jun-23,EQ,"1,286.20","1,292.00","1,281.10","1,288.95","1,283.30","1,282.80","1,286.41","1,672.60","1,185.30","5,034,942","6,476,975,763.90","194,917",INFY
7-Jun-23,EQ,"1,290.50","1,294.00","1,282.50","1,279.00","1,288.80","1,288.95","1,288.30","1,672.60","1,185.30","5,397,578","6,953,703,730.40","216,607",INFY
6-Jun-23,EQ,"1,288.60","1,288.60","1,273.00","1,304.50","1,281.00","1,279.00","1,278.94","1,672.60","1,185.30","10,008,100","12,799,783,085.80","429,482",INFY
