Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"2,379.00","2,419.90","2,361.00","2,366.80","2,365.00","2,366.35","2,387.28","2,419.90","1,456.35","3,111,256","7,427,437,381.00","106,255",LT
16-Jun-23,EQ,"2,363.75","2,380.00","2,352.25","2,361.30","2,363.15","2,366.80","2,367.08","2,416.35","1,456.35","1,794,542","4,247,829,339.05","86,400",LT
15-Jun-23,EQ,"2,355.00","2,369.50","2,349.00","2,355.05","2,358.40","2,361.30","2,363.11","2,416.35","1,456.35","2,561,534","6,053,183,578.60","77,879",LT
14-Jun-23,EQ,"2,352.90","2,360.00","2,340.00","2,354.40","2,355.00","2,355.05","2,351.52","2,416.35","1,456.35","1,013,564","2,383,416,827.05","56,151",LT
13-Jun-23,EQ,"2,345.85","2,357.90","2,327.10","2,339.95","2,352.00","2,354.40","2,348.25","2,416.35","1,456.35","1,688,768","3,965,656,922.25","111,296",LT
12-Jun-23,EQ,"2,365.00","2,370.00","2,333.10","2,363.00","2,340.05","2,339.95","2,342.03","2,416.35","1,456.35","1,172,382","2,745,752,288.65","45,800",LT
9-Jun-23,EQ,"2,345.00","2,368.85","2,338.25","2,340.30","2,363.25","2,363.00","2,360.07","2,416.35","1,456.35","2,501,720","5,904,244,190.05","71,065",LT
8-Jun-23,EQ,"2,316.95","2,345.05","2,312.75","2,315.50","2,340.40","2,340.30","2,336.61","2,416.35","1,456.35","2,556,995","5,974,708,032.00","71,004",LT
7-Jun-23,EQ,"2,278.00","2,318.00","2,278.00","2,277.95","2,316.00","2,315.50","2,304.52","2,416.35","1,456.35","2,128,603","4,905,399,392.20","122,375",LT
6-Jun-23,EQ,"2,269.00","2,280.70","2,263.70","2,268.30","2,278.10","2,277.95","2,272.28","2,416.35","1,456.35","1,677,680","3,812,165,166.35","98,810",LT
5-Jun-23,EQ,"2,245.00","2,272.80","2,240.00","2,234.55","2,269.50","2,268.30","2,260.72","2,416.35","1,456.35","2,344,944","5,301,254,467.75","132,166",LT
2-Jun-23,EQ,"2,221.00","2,237.30","2,212.15","2,207.80","2,236.00","2,234.55","2,228.04","2,416.35","1,456.35","1,399,950","3,119,146,915.75","117,300",LT
1-Jun-23,EQ,"2,217.00","2,222.00","2,202.15","2,205.65","2,209.40","2,207.80","2,211.72","2,416.35","1,456.35","1,049,488","2,321,170,531.55","77,153",LT
31-May-23,EQ,"2,201.10","2,224.00","2,200.00","2,210.80","2,212.50","2,205.65","2,207.16","2,416.35","1,456.35","2,809,284","6,200,544,991.75","72,450",LT
30-May-23,EQ,"2,230.00","2,237.00","2,207.20","2,224.55","2,212.50","2,210.80","2,215.65","2,416.35","1,456.35","1,716,729","3,803,668,166.15","63,987",LT
29-May-23,EQ,"2,225.00","2,241.80","2,220.20","2,218.45","2,227.30","2,224.55","2,230.23","2,416.35","1,456.35","1,369,656","3,054,642,456.65","62,359",LT
26-May-23,EQ,"2,209.00","2,220.75","2,201.00","2,204.70","2,218.00","2,218.45","2,213.00","2,416.35","1,456.35","1,249,128","2,764,318,879.35","59,656",LT
25-May-23,EQ,"2,190.00","2,207.30","2,178.00","2,185.15","2,205.55","2,204.70","2,190.71","2,416.35","1,456.35","1,689,521","3,701,256,865.80","110,789",LT
24-May-23,EQ,"2,200.00","2,208.50","2,176.00","2,197.65","2,190.00","2,185.15","2,189.90","2,416.35","1,456.35","2,648,479","5,799,912,291.00","177,358",LT
23-May-23,EQ,"2,225.60","2,228.60","2,194.00","2,216.60","2,196.00","2,197.65","2,203.51","2,416.35","1,456.35","2,265,389","4,991,800,513.00","148,396",LT
22-May-23,EQ,"2,190.00","2,222.00","2,178.40","2,190.05","2,219.75","2,216.60","2,211.10","2,416.35","1,456.35","1,112,099","2,458,966,165.50","79,757",LT
19-May-23,EQ,"2,192.00","2,199.05","2,168.50","2,188.20","2,194.00","2,190.05","2,183.81","2,416.35","1,456.35","1,729,803","3,777,564,560.35","126,536",LT
18-May-23,EQ,"2,230.00","2,233.55","2,181.00","2,219.60","2,187.60","2,188.20","2,204.09","2,416.35","1,456.35","2,290,757","5,049,027,902.95","90,474",LT
17-May-23,EQ,"2,224.35","2,244.00","2,210.20","2,227.20","2,217.50","2,219.60","2,223.69","2,416.35","1,456.35","1,961,004","4,360,662,313.15","154,051",LT
16-May-23,EQ,"2,254.60","2,255.00","2,223.10","2,246.85","2,227.55","2,227.20","2,234.36","2,416.35","1,456.35","2,528,855","5,650,378,608.00","204,858",LT
15-May-23,EQ,"2,220.90","2,260.00","2,215.00","2,221.10","2,243.00","2,246.85","2,245.48","2,416.35","1,456.35","2,662,740","5,979,133,304.65","189,172",LT
12-May-23,EQ,"2,222.65","2,235.00","2,197.35","2,242.15","2,226.00","2,221.10","2,216.56","2,416.35","1,456.35","5,367,292","11,896,941,825.55","270,385",LT
11-May-23,EQ,"2,300.00","2,314.05","2,237.35","2,364.45","2,244.00","2,242.15","2,255.59","2,416.35","1,456.35","9,470,848","21,362,395,284.80","517,410",LT
10-May-23,EQ,"2,387.00","2,388.95","2,350.00","2,374.35","2,372.80","2,364.45","2,362.84","2,416.35","1,456.35","1,675,409","3,958,730,205.45","68,774",LT
9-May-23,EQ,"2,367.65","2,401.90","2,367.65","2,365.40","2,374.95","2,374.35","2,380.73","2,416.35","1,456.35","1,417,301","3,374,208,041.20","102,983",LT
8-May-23,EQ,"2,377.45","2,385.00","2,354.05","2,377.50","2,368.00","2,365.40","2,368.84","2,416.35","1,456.35","1,583,576","3,751,236,289.35","63,374",LT
5-May-23,EQ,"2,357.00","2,406.95","2,357.00","2,356.90","2,379.45","2,377.50","2,389.07","2,416.35","1,456.35","2,425,866","5,795,571,367.25","133,605",LT
4-May-23,EQ,"2,361.80","2,381.65","2,342.85","2,356.30","2,363.00","2,356.90","2,357.79","2,416.35","1,456.35","1,230,912","2,902,234,986.20","59,655",LT
3-May-23,EQ,"2,384.10","2,390.00","2,348.50","2,384.45","2,355.80","2,356.30","2,362.54","2,416.35","1,456.35","998,235","2,358,370,082.20","67,794",LT
2-May-23,EQ,"2,373.20","2,416.35","2,373.20","2,364.40","2,387.00","2,384.45","2,393.24","2,416.35","1,456.35","1,840,153","4,403,931,558.40","101,401",LT
28-Apr-23,EQ,"2,312.30","2,369.00","2,312.30","2,305.60","2,360.00","2,364.40","2,346.47","2,369.00","1,456.35","2,884,961","6,769,472,231.40","109,342",LT
27-Apr-23,EQ,"2,275.75","2,310.00","2,267.10","2,276.15","2,305.50","2,305.60","2,294.66","2,330.00","1,456.35","1,252,989","2,875,179,639.60","60,784",LT
26-Apr-23,EQ,"2,247.85","2,287.30","2,244.05","2,247.95","2,276.00","2,276.15","2,271.49","2,330.00","1,456.35","1,894,812","4,304,048,330.15","86,235",LT
25-Apr-23,EQ,"2,231.05","2,254.00","2,218.10","2,228.90","2,245.80","2,247.95","2,241.47","2,330.00","1,456.35","1,350,118","3,026,249,576.45","83,288",LT
24-Apr-23,EQ,"2,220.00","2,232.70","2,186.55","2,215.20","2,232.50","2,228.90","2,210.17","2,330.00","1,456.35","1,239,073","2,738,563,468.15","66,820",LT
21-Apr-23,EQ,"2,240.15","2,243.00","2,202.00","2,232.75","2,214.90","2,215.20","2,214.16","2,330.00","1,456.35","1,009,316","2,234,791,968.95","56,949",LT
20-Apr-23,EQ,"2,225.00","2,251.45","2,222.25","2,219.60","2,236.35","2,232.75","2,234.99","2,330.00","1,456.35","1,898,996","4,244,231,154.35","64,047",LT
19-Apr-23,EQ,"2,208.10","2,235.00","2,208.10","2,216.60","2,218.00","2,219.60","2,224.31","2,330.00","1,456.35","1,970,015","4,381,923,167.65","88,619",LT
18-Apr-23,EQ,"2,220.00","2,230.00","2,188.00","2,214.00","2,222.00","2,216.60","2,208.18","2,330.00","1,456.35","2,848,601","6,290,219,457.25","159,574",LT
17-Apr-23,EQ,"2,258.75","2,273.80","2,201.15","2,258.75","2,213.00","2,214.00","2,217.64","2,330.00","1,456.35","4,125,850","9,149,653,322.50","135,338",LT
13-Apr-23,EQ,"2,294.80","2,295.00","2,242.45","2,288.50","2,263.50","2,258.75","2,257.99","2,330.00","1,456.35","1,956,668","4,418,131,174.25","104,076",LT
12-Apr-23,EQ,"2,304.00","2,312.70","2,281.95","2,301.50","2,289.00","2,288.50","2,291.51","2,330.00","1,456.35","1,165,839","2,671,527,010.45","59,946",LT
11-Apr-23,EQ,"2,320.00","2,330.00","2,287.30","2,309.70","2,302.70","2,301.50","2,302.85","2,330.00","1,456.35","1,342,440","3,091,444,178.50","92,230",LT
10-Apr-23,EQ,"2,284.90","2,319.90","2,278.05","2,274.25","2,310.00","2,309.70","2,306.95","2,319.90","1,456.35","1,955,914","4,512,200,198.15","89,598",LT
6-Apr-23,EQ,"2,257.75","2,291.65","2,254.45","2,257.75","2,276.20","2,274.25","2,274.83","2,297.65","1,456.35","2,389,899","5,436,612,593.20","96,838",LT
5-Apr-23,EQ,"2,170.00","2,262.50","2,165.00","2,170.15","2,259.00","2,257.75","2,233.05","2,297.65","1,456.35","2,763,363","6,170,736,018.90","145,375",LT
3-Apr-23,EQ,"2,180.00","2,183.50","2,155.00","2,164.20","2,169.00","2,170.15","2,170.48","2,297.65","1,456.35","1,231,654","2,673,282,675.30","78,708",LT
31-Mar-23,EQ,"2,156.50","2,176.95","2,150.55","2,147.45","2,165.05","2,164.20","2,163.61","2,297.65","1,456.35","1,489,542","3,222,785,339.45","96,841",LT
29-Mar-23,EQ,"2,137.65","2,159.30","2,121.00","2,133.60","2,150.00","2,147.45","2,140.31","2,297.65","1,456.35","2,372,385","5,077,637,507.80","104,448",LT
28-Mar-23,EQ,"2,167.75","2,169.80","2,122.45","2,154.00","2,135.40","2,133.60","2,135.52","2,297.65","1,456.35","1,627,243","3,475,008,155.00","96,673",LT
27-Mar-23,EQ,"2,175.05","2,190.00","2,150.00","2,166.15","2,150.90","2,154.00","2,168.90","2,297.65","1,456.35","1,540,581","3,341,359,938.05","135,796",LT
24-Mar-23,EQ,"2,206.00","2,219.35","2,153.05","2,206.65","2,174.00","2,166.15","2,185.98","2,297.65","1,456.35","1,449,544","3,168,670,804.70","90,023",LT
23-Mar-23,EQ,"2,214.00","2,242.00","2,200.55","2,213.95","2,206.80","2,206.65","2,226.65","2,297.65","1,456.35","2,455,799","5,468,206,648.40","98,325",LT
22-Mar-23,EQ,"2,219.50","2,246.25","2,207.90","2,208.45","2,209.00","2,213.95","2,227.88","2,297.65","1,456.35","1,956,033","4,357,807,809.60","109,021",LT
21-Mar-23,EQ,"2,182.70","2,227.00","2,182.00","2,177.55","2,205.25","2,208.45","2,209.27","2,297.65","1,456.35","3,178,680","7,022,570,676.70","139,983",LT
20-Mar-23,EQ,"2,191.10","2,205.00","2,152.00","2,195.75","2,178.95","2,177.55","2,173.19","2,297.65","1,456.35","1,996,773","4,339,360,704.50","138,654",LT
17-Mar-23,EQ,"2,186.70","2,228.90","2,186.70","2,173.60","2,194.15","2,195.75","2,205.29","2,297.65","1,456.35","3,286,473","7,247,624,234.90","153,006",LT
16-Mar-23,EQ,"2,184.90","2,187.00","2,132.00","2,176.65","2,173.25","2,173.60","2,162.68","2,297.65","1,456.35","2,946,792","6,372,960,405.60","162,873",LT
