"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)",VALUE ,"52W H 
","52W L 
","365 D % CHNG 
 17-Jun-2022","30 D % CHNG 
 18-May-2023"
ADANIENT,"2,435.00","2,435.00","2,396.80","2,401.40","2,407.05",5.65,0.24,"348,013","840,507,077.08","4,190.00","1,017.45",14.58,22.77
ADANIPORTS,738,738,734,735.65,735.65,-,-,"107,998","79,437,928.90",987.85,395.1,9.97,6.91
APOLLOHOSP,"5,174.95","5,197.90","5,127.35","5,145.00","5,133.00",-12,-0.23,"44,707","231,200,015.15","5,294.00","3,635.20",39.01,15.69
ASIANPAINT,"3,315.00","3,320.00","3,301.50","3,309.70","3,303.00",-6.7,-0.2,"44,817","148,516,367.28","3,582.90","2,588.35",28.27,7.3
AXISBANK,965.95,968.7,963.9,965.65,964.75,-0.9,-0.09,"292,817","282,808,514.94",989.7,618.25,52.02,4.5
BAJAJ-AUTO,"4,585.00","4,629.85","4,578.20","4,597.35","4,585.40",-11.95,-0.26,"12,453","57,269,354.52","4,829.90","3,461.25",26.69,2.55
BAJAJFINSV,"1,543.20","1,543.20","1,527.55","1,541.95","1,529.30",-12.65,-0.82,"91,574","140,692,462.12","1,844.00","1,072.72",-86.88,8.96
BAJFINANCE,"7,376.15","7,376.15","7,281.10","7,386.20","7,286.50",-99.7,-1.35,"57,502","421,837,547.10","7,778.00","5,335.05",36.29,8.87
BHARTIARTL,828.1,830.5,827.35,828.15,827.95,-0.2,-0.02,"70,682","58,578,414.32",888.75,628.75,28.66,2.78
BPCL,375,375.05,372.55,374.75,372.9,-1.85,-0.49,"77,746","29,049,792.90",380.45,288.05,24.5,4.01
BRITANNIA,"5,021.05","5,045.05","5,021.05","5,021.05","5,045.00",23.95,0.48,"11,089","55,860,172.16","5,064.40","3,270.95",50.69,11.58
CIPLA,"1,013.85","1,018.80","1,011.50","1,011.25","1,014.00",2.75,0.27,"89,789","91,160,975.92","1,185.25",852,10.55,10.37
