Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,157.9,158.45,156.5,157,157.6,157.8,157.7,169,119.85,"4,718,221","744,071,215.35","44,851",ONGC
16-Jun-23,EQ,158.25,158.65,156.35,157.65,157,157,157.32,169,119.85,"11,466,647","1,803,918,264.60","44,853",ONGC
15-Jun-23,EQ,157.5,157.9,156.2,157.85,157.85,157.65,157.14,169,119.85,"7,426,254","1,166,932,525.40","56,969",ONGC
14-Jun-23,EQ,156.1,158.4,155.85,155.65,157.6,157.85,157.18,169,119.85,"9,695,952","1,524,040,667.95","62,655",ONGC
13-Jun-23,EQ,155.2,156.2,154.25,155.05,155.85,155.65,155.64,169,119.85,"10,073,644","1,567,881,195.60","51,279",ONGC
12-Jun-23,EQ,154.85,155.25,152.6,154.25,155.2,155.05,154.59,169,119.85,"11,017,643","1,703,167,821.05","88,946",ONGC
9-Jun-23,EQ,156.7,156.9,153.8,156.1,154.2,154.25,154.45,169,119.85,"11,764,248","1,817,019,388.80","51,533",ONGC
8-Jun-23,EQ,154.5,156.65,154.2,153.85,156.3,156.1,155.98,169,119.85,"13,850,599","2,160,456,468.85","62,921",ONGC
7-Jun-23,EQ,153.6,154.5,152.55,153.65,154.4,153.85,153.51,169,119.85,"12,180,164","1,869,780,364.25","64,890",ONGC
6-Jun-23,EQ,155.5,155.9,153.2,155.4,153.8,153.65,153.87,169,119.85,"8,118,800","1,249,277,654.10","61,060",ONGC
5-Jun-23,EQ,155.5,156,154.45,154.7,155.35,155.4,155.34,169,119.85,"11,850,547","1,840,888,093.95","61,439",ONGC
2-Jun-23,EQ,155,155,153.4,153.65,154.7,154.7,154.16,169,119.85,"9,851,058","1,518,606,783.55","51,881",ONGC
1-Jun-23,EQ,154.7,156,153.2,154.9,154,153.65,154.2,169,119.85,"13,982,606","2,156,090,243.30","78,938",ONGC
31-May-23,EQ,159,159.4,150.05,158.85,153.7,154.9,155.2,169,119.85,"83,741,017","12,996,588,002.80","138,955",ONGC
30-May-23,EQ,159.7,161.7,157.25,159,159,158.85,159.62,169,119.85,"16,117,505","2,572,600,526.20","82,414",ONGC
29-May-23,EQ,160,160.25,156.5,163.75,159,159,158.65,169,119.85,"43,253,971","6,862,195,567.45","191,658",ONGC
26-May-23,EQ,166.05,167.4,162.3,166,164,163.75,163.71,169,119.85,"14,873,707","2,434,997,985.70","65,745",ONGC
25-May-23,EQ,166.25,167.4,165.25,166.25,166.25,166,165.64,169,119.85,"8,077,606","1,337,984,102.55","36,900",ONGC
24-May-23,EQ,165,166.45,164.65,165,166.1,166.25,165.86,169,119.85,"6,107,980","1,013,067,440.80","38,943",ONGC
23-May-23,EQ,165.6,167.05,164.45,165.6,165.2,165,165.71,169,119.85,"10,119,254","1,676,873,847.35","45,552",ONGC
22-May-23,EQ,164.1,166.4,164.1,164.9,165,165.6,165.74,169,119.85,"7,331,865","1,215,195,501.25","46,973",ONGC
19-May-23,EQ,166.2,166.75,164,166.35,164.6,164.9,165.39,169,119.85,"5,969,632","987,316,976.00","27,535",ONGC
18-May-23,EQ,167.5,168.45,166,167.25,166.2,166.35,166.99,169,119.85,"7,433,090","1,241,278,399.40","46,386",ONGC
17-May-23,EQ,168,168,166.1,168,167.2,167.25,166.89,169,119.85,"7,360,259","1,228,332,079.75","60,545",ONGC
16-May-23,EQ,168.3,168.5,166.75,165.6,167.6,168,167.9,169,119.85,"12,249,266","2,056,690,969.55","60,457",ONGC
15-May-23,EQ,165.5,166.6,164.4,165.5,165.7,165.6,165.84,169,119.85,"8,559,162","1,419,409,153.35","54,849",ONGC
12-May-23,EQ,168.15,169,165,167.05,165.65,165.5,166.18,169,119.85,"16,373,574","2,720,891,885.55","75,276",ONGC
11-May-23,EQ,166.1,168.65,166.1,166.95,167,167.05,167.72,168.65,119.85,"7,877,677","1,321,228,080.15","74,655",ONGC
10-May-23,EQ,165.25,167.65,165,165.25,166.75,166.95,166.89,167.65,119.85,"10,901,429","1,819,324,609.00","75,314",ONGC
9-May-23,EQ,165,166.5,164.4,165,164.8,165.25,165.33,167.35,119.85,"7,600,834","1,256,644,842.10","77,957",ONGC
8-May-23,EQ,160.3,165.35,160,160.3,164.7,165,164.05,167.35,119.85,"9,699,470","1,591,240,073.00","70,350",ONGC
5-May-23,EQ,161.05,161.95,159.7,161,159.9,160.3,160.47,168.4,119.85,"5,488,707","880,766,460.65","32,754",ONGC
4-May-23,EQ,160.8,161.2,159.2,161.15,160.8,161,160.34,168.4,119.85,"9,929,482","1,592,111,828.45","62,244",ONGC
3-May-23,EQ,162.9,163.35,160.85,164.25,161.15,161.15,162.02,168.4,119.85,"8,029,435","1,300,928,844.95","53,316",ONGC
2-May-23,EQ,159.5,164.8,159.35,158.95,164.3,164.25,163.46,168.4,119.85,"16,612,560","2,715,430,266.65","84,744",ONGC
28-Apr-23,EQ,159.8,159.8,154.85,160.05,158.7,158.95,158.16,173,119.85,"12,656,744","2,001,816,450.65","54,241",ONGC
27-Apr-23,EQ,160.2,160.9,159.6,161.15,159.8,160.05,160.35,173,119.85,"6,456,825","1,035,372,140.65","39,375",ONGC
26-Apr-23,EQ,160,161.6,159.75,160.65,160.7,161.15,160.86,173,119.85,"9,177,783","1,476,331,745.75","51,786",ONGC
25-Apr-23,EQ,160.2,161.8,160,160.25,160.5,160.65,160.92,173,119.85,"10,169,778","1,636,551,846.15","62,034",ONGC
24-Apr-23,EQ,159.6,160.75,159.3,159.6,160.3,160.25,160.15,173,119.85,"7,028,440","1,125,594,529.45","48,581",ONGC
21-Apr-23,EQ,158.9,159.85,158.7,159.15,159.65,159.6,159.23,179.8,119.85,"3,512,214","559,255,326.70","33,602",ONGC
20-Apr-23,EQ,159.6,160.1,158.5,160.1,159.1,159.15,159.16,179.8,119.85,"5,733,670","912,596,426.80","33,912",ONGC
19-Apr-23,EQ,158.3,160.45,158.05,160.1,159.65,160.1,159.69,179.8,119.85,"11,374,283","1,816,381,087.45","62,075",ONGC
18-Apr-23,EQ,160.15,160.55,159.4,160.15,160.05,160.1,160.03,179.8,119.85,"8,008,560","1,281,606,132.95","46,216",ONGC
17-Apr-23,EQ,159.1,160.45,158,158.75,160.05,160.15,159.26,179.8,119.85,"9,358,885","1,490,529,533.05","64,142",ONGC
13-Apr-23,EQ,158.15,160.5,158,157.65,158.95,158.75,159.04,179.8,119.85,"11,610,851","1,846,622,510.70","66,579",ONGC
12-Apr-23,EQ,159,159.05,156.6,159.05,157.95,157.65,157.73,179.8,119.85,"7,333,339","1,156,662,905.35","49,427",ONGC
