Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,246.45,248.3,242.4,246.45,243.9,243.1,244.08,249.6,186.35,"78,23,736","1,90,96,21,965.30","61,073",POWERGRID
16-Jun-23,EQ,246.4,247.35,244.5,246.45,245.45,246.45,245.9,249.6,186.35,"72,76,771","1,78,93,54,240.10","47,293",POWERGRID
15-Jun-23,EQ,246.95,246.95,243.8,246.5,246,246.45,245.4,249.6,186.35,"72,99,562","1,79,12,92,107.30","53,486",POWERGRID
14-Jun-23,EQ,242.1,247.2,242.1,242.25,245.95,246.5,245.77,249.6,186.35,"77,23,070","1,89,80,83,243.30","65,388",POWERGRID
13-Jun-23,EQ,242,243.45,241.45,241.65,242.6,242.25,242.36,249.6,186.35,"48,32,414","1,17,11,66,743.15","41,135",POWERGRID
12-Jun-23,EQ,245,246.45,241.2,244.9,241.75,241.65,243.12,249.6,186.35,"61,41,682","1,49,31,78,147.45","63,653",POWERGRID
9-Jun-23,EQ,243.55,245.5,241.8,241.65,244.2,244.9,243.44,249.6,186.35,"82,77,856","2,01,51,53,993.45","69,001",POWERGRID
8-Jun-23,EQ,239.25,245.45,239.25,239.2,242.55,241.65,243.38,249.6,186.35,"1,44,75,626","3,52,31,38,822.10","91,747",POWERGRID
7-Jun-23,EQ,236.7,240.05,236.15,235.3,240,239.2,238.54,249.6,186.35,"83,65,179","1,99,53,88,142.80","77,639",POWERGRID
6-Jun-23,EQ,236.45,237,234.45,235.6,235.75,235.3,235.41,249.6,186.35,"51,73,953","1,21,80,06,657.90","42,309",POWERGRID
5-Jun-23,EQ,236.45,238,234.8,234.6,235.25,235.6,236.75,249.6,186.35,"2,05,71,227","4,87,02,04,794.30","56,990",POWERGRID
2-Jun-23,EQ,234,235.1,233.1,233,234.7,234.6,234.08,249.6,186.35,"49,63,336","1,16,18,01,488.25","49,076",POWERGRID
1-Jun-23,EQ,232.95,234.1,230.05,233.85,233.1,233,232.69,249.6,186.35,"66,03,593","1,53,65,59,000.75","80,254",POWERGRID
31-May-23,EQ,235,235.2,230,235.1,231.25,233.85,233.79,249.6,186.35,"3,60,78,118","8,43,46,50,183.20","91,015",POWERGRID
30-May-23,EQ,235.9,235.9,233.7,234.5,234.95,235.1,234.96,249.6,186.35,"71,02,445","1,66,87,80,678.00","72,934",POWERGRID
