Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"2,584.00","2,584.00","2,542.65","2,577.40","2,550.50","2,551.80","2,555.84","2,755.00","2,180.00","31,37,532","8,01,90,25,286.30","1,30,037",RELIANCE
16-Jun-23,EQ,"2,560.20","2,582.40","2,560.20","2,552.55","2,575.00","2,577.40","2,574.79","2,755.00","2,180.00","1,11,55,180","28,72,22,02,805.50","2,37,630",RELIANCE
15-Jun-23,EQ,"2,551.80","2,562.55","2,535.50","2,551.85","2,550.15","2,552.55","2,551.63","2,755.00","2,180.00","54,51,926","13,91,13,15,989.45","1,93,503",RELIANCE
14-Jun-23,EQ,"2,521.00","2,555.00","2,517.00","2,520.85","2,546.25","2,551.85","2,541.35","2,755.00","2,180.00","61,27,509","15,57,21,20,760.55","2,55,684",RELIANCE
13-Jun-23,EQ,"2,495.00","2,523.45","2,486.25","2,484.15","2,517.90","2,520.85","2,509.06","2,755.00","2,180.00","51,90,958","13,02,44,09,119.20","1,79,929",RELIANCE
12-Jun-23,EQ,"2,475.50","2,489.20","2,465.00","2,481.95","2,488.00","2,484.15","2,479.76","2,755.00","2,180.00","29,49,893","7,31,50,18,537.50","1,55,197",RELIANCE
9-Jun-23,EQ,"2,507.00","2,508.55","2,478.00","2,499.65","2,482.00","2,481.95","2,493.99","2,814.00","2,180.00","27,12,243","6,76,43,00,003.70","1,54,585",RELIANCE
8-Jun-23,EQ,"2,506.00","2,516.85","2,491.00","2,498.15","2,505.00","2,499.65","2,504.11","2,814.00","2,180.00","55,70,815","13,94,99,25,583.10","1,76,663",RELIANCE
7-Jun-23,EQ,"2,487.00","2,500.00","2,472.60","2,479.35","2,498.00","2,498.15","2,487.06","2,814.00","2,180.00","47,59,238","11,83,65,09,766.30","1,87,387",RELIANCE
6-Jun-23,EQ,"2,483.45","2,487.70","2,462.00","2,477.25","2,483.80","2,479.35","2,473.70","2,814.00","2,180.00","34,58,161","8,55,44,57,378.70","1,67,754",RELIANCE
5-Jun-23,EQ,"2,467.20","2,483.75","2,458.45","2,455.20","2,479.95","2,477.25","2,470.14","2,814.00","2,180.00","50,34,355","12,43,55,36,493.30","1,61,758",RELIANCE
2-Jun-23,EQ,"2,471.00","2,482.85","2,451.00","2,463.25","2,455.25","2,455.20","2,459.32","2,817.35","2,180.00","72,91,995","17,93,33,84,336.15","1,60,655",RELIANCE
1-Jun-23,EQ,"2,480.15","2,484.90","2,458.00","2,469.90","2,467.00","2,463.25","2,472.06","2,817.35","2,180.00","67,34,525","16,64,81,39,919.55","2,16,233",RELIANCE
31-May-23,EQ,"2,500.00","2,509.85","2,461.00","2,519.95","2,466.95","2,469.90","2,477.34","2,817.35","2,180.00","1,25,10,304","30,99,22,95,693.45","2,89,027",RELIANCE
30-May-23,EQ,"2,520.60","2,537.70","2,514.35","2,520.60","2,520.55","2,519.95","2,524.94","2,817.35","2,180.00","52,34,564","13,21,69,61,279.00","1,73,212",RELIANCE
29-May-23,EQ,"2,521.00","2,530.00","2,507.20","2,506.50","2,518.20","2,520.60","2,519.76","2,817.35","2,180.00","46,19,754","11,64,06,58,051.85","1,84,530",RELIANCE
26-May-23,EQ,"2,458.00","2,509.00","2,450.75","2,439.95","2,508.80","2,506.50","2,489.54","2,817.35","2,180.00","58,27,017","14,50,66,12,501.75","1,97,182",RELIANCE
25-May-23,EQ,"2,433.90","2,449.00","2,416.05","2,440.25","2,444.85","2,439.95","2,430.14","2,817.35","2,180.00","53,01,647","12,88,37,32,875.05","1,36,521",RELIANCE
24-May-23,EQ,"2,445.90","2,464.00","2,433.45","2,454.55","2,441.00","2,440.25","2,447.77","2,817.35","2,180.00","37,43,804","9,16,39,84,988.70","1,32,191",RELIANCE
23-May-23,EQ,"2,460.65","2,468.00","2,451.45","2,455.00","2,453.00","2,454.55","2,460.13","2,817.35","2,180.00","28,11,473","6,91,65,83,531.40","1,21,065",RELIANCE
22-May-23,EQ,"2,435.00","2,466.00","2,432.35","2,441.95","2,454.50","2,455.00","2,455.77","2,817.35","2,180.00","34,31,208","8,42,62,66,009.20","1,22,501",RELIANCE
19-May-23,EQ,"2,434.05","2,445.95","2,418.85","2,434.05","2,444.00","2,441.95","2,432.71","2,817.35","2,180.00","37,15,280","9,03,82,04,553.15","1,18,264",RELIANCE
18-May-23,EQ,"2,449.55","2,457.00","2,427.15","2,439.30","2,433.00","2,434.05","2,443.67","2,817.35","2,180.00","48,57,531","11,87,02,19,947.45","1,45,659",RELIANCE
17-May-23,EQ,"2,463.00","2,465.00","2,429.00","2,453.80","2,442.00","2,439.30","2,444.63","2,817.35","2,180.00","40,60,722","9,92,69,61,637.20","1,55,508",RELIANCE
