Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,995.15,"1,006.70",993.75,992,"1,000.25","1,001.80","1,001.73","1,072.15",794.5,"13,27,862","1,33,01,65,553.05","60,018",SUNPHARMA
16-Jun-23,EQ,990,994.65,987.2,988.4,994.5,992,990.69,"1,072.15",789.9,"36,11,214","3,57,76,01,431.35","94,320",SUNPHARMA
15-Jun-23,EQ,988.5,994.8,985.7,986.7,987.05,988.4,989.36,"1,072.15",789.9,"27,31,724","2,70,26,48,558.05","2,28,329",SUNPHARMA
14-Jun-23,EQ,991.6,995,984.25,988.1,988.45,986.7,989.86,"1,072.15",789.9,"21,39,387","2,11,76,97,465.75","60,732",SUNPHARMA
13-Jun-23,EQ,990,996,985.55,985.45,988,988.1,990.8,"1,072.15",789.9,"24,13,311","2,39,11,16,073.30","56,561",SUNPHARMA
12-Jun-23,EQ,987.9,989.9,981.05,983.95,988.9,985.45,985.24,"1,072.15",789.9,"5,93,319","58,45,63,371.15","47,574",SUNPHARMA
9-Jun-23,EQ,984,990.7,981,987,985.45,983.95,985.18,"1,072.15",789.9,"23,06,206","2,27,20,27,937.90","58,845",SUNPHARMA
8-Jun-23,EQ,"1,015.00","1,016.00",983.25,"1,014.60",991,987,994.03,"1,072.15",789.9,"33,95,935","3,37,56,78,155.75","69,351",SUNPHARMA
7-Jun-23,EQ,"1,015.00","1,017.50","1,010.00","1,013.80","1,015.00","1,014.60","1,013.66","1,072.15",789.9,"16,08,613","1,63,05,82,456.75","63,989",SUNPHARMA
6-Jun-23,EQ,"1,008.90","1,015.95","1,004.00","1,008.75","1,010.30","1,013.80","1,011.07","1,072.15",789.9,"16,32,644","1,65,07,17,817.10","70,936",SUNPHARMA
5-Jun-23,EQ,"1,005.35","1,017.70",998.5,999.6,"1,006.05","1,008.75","1,010.91","1,072.15",789.9,"36,29,780","3,66,93,77,509.35","1,33,862",SUNPHARMA
2-Jun-23,EQ,986.55,"1,003.70",981,987.7,"1,001.50",999.6,994.55,"1,072.15",789.9,"37,34,815","3,71,44,66,000.05","1,13,823",SUNPHARMA
1-Jun-23,EQ,979.8,990.45,975,975.35,986.55,987.7,983.55,"1,072.15",789.9,"32,61,906","3,20,82,53,096.70","74,533",SUNPHARMA
31-May-23,EQ,965,979.3,960.75,959.6,976,975.35,973.98,"1,072.15",789.9,"55,95,631","5,45,00,34,758.05","1,05,928",SUNPHARMA
30-May-23,EQ,965,967.45,956.3,968.45,960.9,959.6,960.7,"1,072.15",789.9,"26,24,815","2,52,16,72,254.65","92,196",SUNPHARMA
29-May-23,EQ,969.95,973.25,946.4,969.9,968.5,968.45,958.17,"1,072.15",789.9,"53,44,765","5,12,11,68,398.30","1,34,349",SUNPHARMA
26-May-23,EQ,943.95,976.7,937,945,966.95,969.9,959.02,"1,072.15",789.9,"41,37,189","3,96,76,51,622.65","1,20,512",SUNPHARMA
25-May-23,EQ,949.7,951.7,942.7,952.15,944.9,945,945.4,"1,072.15",789.9,"23,31,464","2,20,41,64,442.10","84,291",SUNPHARMA
