Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,570.65,573.2,564.2,569.8,566.4,566.05,568.5,576.55,375.2,"62,80,388","3,57,03,69,796.50","1,10,083",TATAMOTORS
16-Jun-23,EQ,569.65,572.2,566.05,568.45,569.85,569.8,569.1,576.55,375.2,"87,36,313","4,97,18,28,846.75","1,24,969",TATAMOTORS
15-Jun-23,EQ,571.8,575,567.75,570.3,568.5,568.45,570.84,576.55,375.2,"1,24,75,759","7,12,17,18,474.45","1,74,201",TATAMOTORS
14-Jun-23,EQ,566,571.2,564,562.2,569.75,570.3,567.76,576.55,375.2,"1,27,13,256","7,21,80,66,743.45","1,50,717",TATAMOTORS
13-Jun-23,EQ,567.7,571.05,560.75,564.15,562.45,562.2,564.83,576.55,375.2,"1,28,45,897","7,25,57,15,972.55","2,33,002",TATAMOTORS
12-Jun-23,EQ,567,568.9,560.65,562.3,563.8,564.15,564.2,576.55,375.2,"75,99,572","4,28,76,93,145.50","1,33,928",TATAMOTORS
9-Jun-23,EQ,564.4,566.45,559.3,559.7,562.15,562.3,562.97,576.55,375.2,"93,61,533","5,27,02,60,140.50","1,30,073",TATAMOTORS
8-Jun-23,EQ,570,576.55,557,567.95,560.5,559.7,565.72,576.55,375.2,"2,15,27,339","12,17,84,37,334.20","2,55,530",TATAMOTORS
7-Jun-23,EQ,558.8,575,552.15,555.75,567.1,567.95,565.55,575,375.2,"2,08,55,239","11,79,46,18,216.50","2,52,610",TATAMOTORS
6-Jun-23,EQ,549.45,557,545.35,546.25,556.45,555.75,552.52,557,375.2,"1,53,95,092","8,50,61,65,599.65","2,01,706",TATAMOTORS
5-Jun-23,EQ,539,548.8,537.9,535.9,545.5,546.25,544.66,548.8,375.2,"1,50,08,325","8,17,44,38,010.90","3,07,401",TATAMOTORS
2-Jun-23,EQ,537,541.25,532.75,535.2,535.1,535.9,536.06,541.25,375.2,"1,22,94,728","6,59,07,30,363.10","1,58,429",TATAMOTORS
1-Jun-23,EQ,527.5,536.25,522.85,526.3,534.4,535.2,530.62,537.15,375.2,"1,25,11,265","6,63,87,55,708.10","1,81,634",TATAMOTORS
31-May-23,EQ,519.95,527.5,516.4,518.8,525,526.3,525.17,537.15,375.2,"1,23,27,284","6,47,38,76,480.20","1,27,058",TATAMOTORS
30-May-23,EQ,521.45,523.5,518,521.45,519.15,518.8,520.08,537.15,375.2,"51,34,688","2,67,04,26,378.20","86,163",TATAMOTORS
29-May-23,EQ,525,525.1,519.7,518.45,521,521.45,522.06,537.15,375.2,"65,96,504","3,44,37,91,163.95","89,053",TATAMOTORS
26-May-23,EQ,514.9,519.75,512.2,514.85,517.8,518.45,516.76,537.15,375.2,"83,60,570","4,32,04,40,656.10","1,17,543",TATAMOTORS
