Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"3,190.00","3,214.90","3,175.00","3,174.90","3,207.10","3,210.40","3,194.51","3,575.00","2,926.10","14,68,186","4,69,01,30,908.90","88,271",TCS
16-Jun-23,EQ,"3,197.00","3,199.40","3,156.00","3,216.30","3,177.30","3,174.90","3,175.76","3,575.00","2,926.10","41,56,189","13,19,90,71,871.50","2,14,155",TCS
15-Jun-23,EQ,"3,245.30","3,247.45","3,210.00","3,251.05","3,215.30","3,216.30","3,225.77","3,575.00","2,926.10","22,73,810","7,33,47,85,641.40","1,04,925",TCS
14-Jun-23,EQ,"3,243.70","3,255.85","3,225.85","3,243.70","3,245.30","3,251.05","3,244.95","3,575.00","2,926.10","16,58,544","5,38,18,90,991.70","92,990",TCS
13-Jun-23,EQ,"3,260.00","3,265.00","3,239.00","3,246.90","3,244.90","3,243.70","3,249.64","3,575.00","2,926.10","13,71,928","4,45,82,73,417.90","90,189",TCS
12-Jun-23,EQ,"3,215.00","3,254.40","3,211.00","3,209.30","3,248.40","3,246.90","3,238.21","3,575.00","2,926.10","23,24,605","7,52,75,61,262.20","99,385",TCS
9-Jun-23,EQ,"3,245.00","3,250.00","3,205.35","3,236.45","3,210.00","3,209.30","3,219.25","3,575.00","2,926.10","17,75,689","5,71,63,88,482.00","1,19,166",TCS
8-Jun-23,EQ,"3,261.00","3,270.00","3,233.00","3,274.90","3,236.00","3,236.45","3,246.40","3,575.00","2,926.10","17,59,366","5,71,16,13,268.75","1,05,766",TCS
7-Jun-23,EQ,"3,253.00","3,278.85","3,241.00","3,232.30","3,274.55","3,274.90","3,261.20","3,575.00","2,926.10","15,67,196","5,11,09,39,240.45","82,630",TCS
6-Jun-23,EQ,"3,280.00","3,288.85","3,220.60","3,288.90","3,237.00","3,232.30","3,235.85","3,575.00","2,926.10","20,22,849","6,54,56,33,590.60","1,58,147",TCS
5-Jun-23,EQ,"3,315.00","3,327.00","3,285.05","3,305.60","3,289.30","3,288.90","3,301.42","3,575.00","2,926.10","18,61,468","6,14,54,82,702.90","94,288",TCS
2-Jun-23,EQ,"3,326.25","3,335.90","3,297.45","3,324.00","3,306.40","3,305.60","3,310.69","3,575.00","2,926.10","20,30,661","6,72,28,79,743.50","1,32,777",TCS
1-Jun-23,EQ,"3,314.00","3,340.00","3,297.50","3,289.50","3,322.00","3,324.00","3,325.54","3,575.00","2,926.10","11,77,314","3,91,52,00,315.10","1,07,605",TCS
31-May-23,EQ,"3,309.00","3,327.70","3,265.15","3,316.20","3,286.00","3,289.50","3,294.05","3,575.00","2,926.10","58,15,424","19,15,62,82,297.40","1,71,593",TCS
30-May-23,EQ,"3,315.00","3,326.95","3,301.35","3,320.35","3,315.15","3,316.20","3,311.75","3,575.00","2,926.10","13,44,224","4,45,17,39,910.30","1,05,175",TCS
29-May-23,EQ,"3,360.80","3,372.00","3,312.00","3,328.90","3,320.70","3,320.35","3,333.70","3,575.00","2,926.10","12,10,372","4,03,50,20,143.50","89,980",TCS
26-May-23,EQ,"3,293.50","3,338.65","3,291.00","3,293.50","3,331.70","3,328.90","3,310.97","3,575.00","2,926.10","17,91,115","5,93,03,31,787.45","1,03,741",TCS
25-May-23,EQ,"3,294.00","3,306.00","3,267.10","3,303.35","3,295.00","3,293.50","3,287.20","3,575.00","2,926.10","13,74,917","4,51,96,33,216.35","76,662",TCS
24-May-23,EQ,"3,276.00","3,317.20","3,276.00","3,297.05","3,303.50","3,303.35","3,302.83","3,575.00","2,926.10","10,16,555","3,35,75,04,888.10","57,423",TCS
23-May-23,EQ,"3,306.00","3,327.95","3,290.10","3,298.70","3,295.00","3,297.05","3,310.23","3,575.00","2,926.10","16,87,418","5,58,57,48,304.90","1,40,257",TCS
22-May-23,EQ,"3,230.00","3,308.45","3,217.05","3,222.85","3,292.00","3,298.70","3,272.82","3,575.00","2,926.10","13,33,243","4,36,34,57,756.40","1,16,693",TCS
19-May-23,EQ,"3,210.00","3,234.50","3,203.05","3,199.85","3,224.55","3,222.85","3,219.92","3,575.00","2,926.10","11,52,449","3,71,07,96,199.45","74,505",TCS
18-May-23,EQ,"3,225.95","3,228.95","3,195.00","3,208.70","3,200.00","3,199.85","3,203.72","3,575.00","2,926.10","13,69,364","4,38,70,53,720.55","96,133",TCS
17-May-23,EQ,"3,255.95","3,280.00","3,198.25","3,258.15","3,209.00","3,208.70","3,216.79","3,575.00","2,926.10","15,88,815","5,11,08,82,505.40","1,32,490",TCS
16-May-23,EQ,"3,256.20","3,285.00","3,250.45","3,255.05","3,255.95","3,258.15","3,266.60","3,575.00","2,926.10","9,86,306","3,22,18,71,014.75","84,131",TCS
15-May-23,EQ,"3,284.00","3,292.00","3,248.35","3,274.30","3,251.50","3,255.05","3,272.51","3,575.00","2,926.10","11,50,390","3,76,46,61,351.00","84,958",TCS
12-May-23,EQ,"3,279.15","3,290.00","3,260.00","3,282.15","3,277.00","3,274.30","3,274.10","3,575.00","2,926.10","10,27,479","3,36,40,70,116.35","96,840",TCS
11-May-23,EQ,"3,309.00","3,309.70","3,272.00","3,286.80","3,281.05","3,282.15","3,293.20","3,575.00","2,926.10","17,19,623","5,66,30,54,332.75","1,24,781",TCS
10-May-23,EQ,"3,290.00","3,306.50","3,266.05","3,283.25","3,280.00","3,286.80","3,286.72","3,575.00","2,926.10","15,59,987","5,12,72,37,024.20","93,564",TCS
9-May-23,EQ,"3,252.60","3,298.00","3,246.00","3,250.60","3,292.00","3,283.25","3,267.91","3,575.00","2,926.10","11,07,375","3,61,87,99,710.35","72,883",TCS
