Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"2,967.00","3,024.40","2,963.35","2,954.30","2,971.00","2,968.60","2,991.42","3,024.40","1,825.05","13,82,633","4,13,60,32,047.60","73,859",TITAN
16-Jun-23,EQ,"2,911.80","2,960.00","2,911.80","2,908.00","2,959.00","2,954.30","2,941.55","2,960.00","1,825.05","10,22,389","3,00,74,05,052.40","66,580",TITAN
15-Jun-23,EQ,"2,911.05","2,924.65","2,900.00","2,907.05","2,906.15","2,908.00","2,911.59","2,928.20","1,825.05","5,64,711","1,64,42,05,347.45","53,202",TITAN
14-Jun-23,EQ,"2,920.00","2,928.20","2,897.00","2,912.50","2,908.00","2,907.05","2,906.64","2,928.20","1,825.05","6,17,700","1,79,54,29,832.70","52,853",TITAN
13-Jun-23,EQ,"2,859.90","2,918.00","2,855.10","2,852.60","2,908.50","2,912.50","2,905.13","2,921.85","1,825.05","7,76,313","2,25,52,91,379.65","62,355",TITAN
12-Jun-23,EQ,"2,884.95","2,885.45","2,833.25","2,876.25","2,857.40","2,852.60","2,848.82","2,921.85","1,825.05","11,12,274","3,16,86,73,942.25","72,723",TITAN
9-Jun-23,EQ,"2,890.00","2,919.95","2,863.25","2,877.00","2,878.80","2,876.25","2,889.14","2,921.85","1,825.05","7,27,880","2,10,29,50,744.05","51,540",TITAN
8-Jun-23,EQ,"2,906.90","2,921.85","2,871.05","2,906.95","2,874.50","2,877.00","2,897.10","2,921.85","1,825.05","5,60,514","1,62,38,65,253.65","53,768",TITAN
7-Jun-23,EQ,"2,895.00","2,910.00","2,870.00","2,881.45","2,905.00","2,906.95","2,894.23","2,910.00","1,825.05","8,62,821","2,49,72,00,078.50","55,818",TITAN
6-Jun-23,EQ,"2,860.95","2,893.00","2,858.30","2,855.70","2,883.00","2,881.45","2,878.11","2,893.00","1,825.05","11,48,132","3,30,44,49,530.40","57,854",TITAN
5-Jun-23,EQ,"2,875.00","2,875.00","2,840.00","2,861.65","2,853.80","2,855.70","2,854.64","2,875.00","1,825.05","7,24,102","2,06,70,50,145.90","51,244",TITAN
2-Jun-23,EQ,"2,830.00","2,871.00","2,826.45","2,827.25","2,858.00","2,861.65","2,854.47","2,871.00","1,825.05","11,16,501","3,18,70,19,130.85","93,466",TITAN
1-Jun-23,EQ,"2,823.25","2,837.65","2,814.70","2,823.25","2,820.00","2,827.25","2,824.91","2,841.90","1,825.05","5,38,550","1,52,13,55,131.05","52,732",TITAN
31-May-23,EQ,"2,802.50","2,832.10","2,790.10","2,802.50","2,819.00","2,823.25","2,816.22","2,841.90","1,825.05","13,94,580","3,92,74,48,261.80","59,853",TITAN
30-May-23,EQ,"2,829.50","2,841.90","2,797.70","2,812.25","2,802.00","2,802.50","2,816.60","2,841.90","1,825.05","12,63,691","3,55,93,16,805.25","70,847",TITAN
29-May-23,EQ,"2,745.00","2,821.80","2,745.00","2,742.15","2,813.95","2,812.25","2,788.87","2,821.80","1,825.05","11,07,678","3,08,91,68,389.60","62,993",TITAN
26-May-23,EQ,"2,707.95","2,759.70","2,699.15","2,707.95","2,740.25","2,742.15","2,737.12","2,802.10","1,825.05","8,11,400","2,22,09,01,707.30","56,724",TITAN
25-May-23,EQ,"2,714.45","2,720.00","2,682.00","2,707.25","2,710.00","2,707.95","2,693.13","2,802.10","1,825.05","6,51,488","1,75,45,43,904.90","37,505",TITAN
24-May-23,EQ,"2,675.00","2,722.00","2,670.00","2,683.45","2,710.00","2,707.25","2,705.62","2,802.10","1,825.05","8,14,553","2,20,38,70,111.90","43,954",TITAN
23-May-23,EQ,"2,719.95","2,726.40","2,677.30","2,712.55","2,692.00","2,683.45","2,694.59","2,802.10","1,825.05","7,13,749","1,92,32,63,401.30","47,750",TITAN
22-May-23,EQ,"2,701.60","2,734.00","2,701.10","2,701.65","2,715.00","2,712.55","2,719.35","2,802.10","1,825.05","5,59,506","1,52,14,93,258.50","36,971",TITAN
19-May-23,EQ,"2,719.95","2,719.95","2,683.05","2,721.85","2,703.00","2,701.65","2,700.82","2,802.10","1,825.05","8,46,419","2,28,60,23,055.80","49,857",TITAN
18-May-23,EQ,"2,782.00","2,782.00","2,716.10","2,762.40","2,722.00","2,721.85","2,736.39","2,802.10","1,825.05","6,12,441","1,67,58,75,969.55","34,062",TITAN
17-May-23,EQ,"2,785.00","2,790.00","2,750.05","2,790.25","2,765.00","2,762.40","2,764.87","2,802.10","1,825.05","5,39,547","1,49,17,76,880.55","50,158",TITAN
16-May-23,EQ,"2,785.00","2,800.80","2,774.55","2,779.55","2,788.40","2,790.25","2,791.89","2,802.10","1,825.05","5,48,885","1,53,24,28,058.20","50,533",TITAN
15-May-23,EQ,"2,774.00","2,802.10","2,764.25","2,773.20","2,773.00","2,779.55","2,784.69","2,802.10","1,825.05","7,72,914","2,15,23,27,874.30","70,305",TITAN
12-May-23,EQ,"2,760.80","2,784.50","2,756.85","2,757.85","2,771.95","2,773.20","2,773.48","2,791.00","1,825.05","7,05,516","1,95,67,33,168.60","57,873",TITAN
11-May-23,EQ,"2,758.00","2,765.00","2,744.05","2,745.45","2,760.80","2,757.85","2,752.30","2,791.00","1,825.05","6,21,067","1,70,93,60,738.65","49,812",TITAN
10-May-23,EQ,"2,760.00","2,767.70","2,736.20","2,748.40","2,746.00","2,745.45","2,745.98","2,791.00","1,825.05","5,22,149","1,43,38,10,694.75","40,547",TITAN
9-May-23,EQ,"2,753.30","2,790.00","2,738.45","2,751.25","2,746.00","2,748.40","2,761.70","2,791.00","1,825.05","8,93,686","2,46,80,96,877.35","76,043",TITAN
8-May-23,EQ,"2,732.95","2,770.00","2,732.90","2,732.90","2,753.25","2,751.25","2,755.99","2,791.00","1,825.05","8,48,638","2,33,88,41,940.00","65,395",TITAN
5-May-23,EQ,"2,670.60","2,766.00","2,666.30","2,670.40","2,732.00","2,732.90","2,728.51","2,791.00","1,825.05","21,90,777","5,97,75,59,105.85","94,680",TITAN
4-May-23,EQ,"2,679.70","2,694.25","2,656.55","2,654.05","2,666.20","2,670.40","2,673.85","2,791.00","1,825.05","19,36,641","5,17,82,93,525.10","87,046",TITAN
3-May-23,EQ,"2,675.00","2,679.50","2,643.10","2,663.85","2,651.00","2,654.05","2,659.93","2,791.00","1,825.05","8,08,211","2,14,97,87,905.75","46,595",TITAN
2-May-23,EQ,"2,657.00","2,674.00","2,633.40","2,641.85","2,664.95","2,663.85","2,654.16","2,791.00","1,825.05","7,26,439","1,92,80,84,581.20","56,556",TITAN
28-Apr-23,EQ,"2,672.45","2,679.30","2,619.50","2,663.45","2,637.00","2,641.85","2,642.28","2,791.00","1,825.05","15,67,472","4,14,16,92,191.60","76,323",TITAN
27-Apr-23,EQ,"2,641.00","2,674.00","2,631.50","2,641.00","2,660.40","2,663.45","2,649.33","2,791.00","1,825.05","6,20,037","1,64,26,81,810.80","40,889",TITAN
26-Apr-23,EQ,"2,633.00","2,647.65","2,625.65","2,633.20","2,635.90","2,641.00","2,639.75","2,791.00","1,825.05","6,31,279","1,66,64,21,002.05","54,000",TITAN
25-Apr-23,EQ,"2,634.85","2,637.00","2,614.95","2,629.55","2,631.00","2,633.20","2,626.28","2,791.00","1,825.05","6,30,987","1,65,71,47,814.70","48,376",TITAN
24-Apr-23,EQ,"2,571.10","2,636.40","2,570.00","2,568.30","2,625.00","2,629.55","2,608.77","2,791.00","1,825.05","10,26,391","2,67,76,22,023.90","54,153",TITAN
21-Apr-23,EQ,"2,593.60","2,594.55","2,559.25","2,579.25","2,573.00","2,568.30","2,575.71","2,791.00","1,825.05","4,09,932","1,05,58,65,030.05","34,242",TITAN
20-Apr-23,EQ,"2,577.65","2,619.00","2,570.50","2,569.30","2,575.35","2,579.25","2,597.42","2,791.00","1,825.05","9,95,472","2,58,56,54,717.05","49,552",TITAN
19-Apr-23,EQ,"2,580.05","2,595.95","2,562.00","2,577.70","2,566.05","2,569.30","2,573.22","2,791.00","1,825.05","6,87,292","1,76,85,55,801.85","46,026",TITAN
18-Apr-23,EQ,"2,603.05","2,607.65","2,560.10","2,605.60","2,575.00","2,577.70","2,576.83","2,791.00","1,825.05","6,74,756","1,73,87,30,711.00","52,711",TITAN
17-Apr-23,EQ,"2,600.00","2,612.25","2,582.30","2,585.65","2,607.05","2,605.60","2,601.00","2,791.00","1,825.05","10,44,487","2,71,67,11,379.35","60,674",TITAN
13-Apr-23,EQ,"2,588.00","2,599.95","2,577.30","2,587.90","2,580.00","2,585.65","2,589.72","2,791.00","1,825.05","4,81,459","1,24,68,44,448.30","42,487",TITAN
12-Apr-23,EQ,"2,580.05","2,593.45","2,564.15","2,580.05","2,588.00","2,587.90","2,578.23","2,791.00","1,825.05","5,53,807","1,42,78,44,311.65","43,653",TITAN
11-Apr-23,EQ,"2,583.70","2,603.50","2,576.00","2,583.70","2,577.10","2,580.05","2,591.03","2,791.00","1,825.05","8,20,568","2,12,61,16,627.85","70,941",TITAN
10-Apr-23,EQ,"2,568.00","2,602.00","2,561.05","2,548.45","2,578.00","2,583.70","2,582.50","2,791.00","1,825.05","14,97,452","3,86,71,65,551.85","72,808",TITAN
6-Apr-23,EQ,"2,583.00","2,584.00","2,545.00","2,572.70","2,548.00","2,548.45","2,557.23","2,791.00","1,825.05","11,92,271","3,04,89,05,695.60","62,956",TITAN
5-Apr-23,EQ,"2,560.00","2,581.50","2,550.10","2,537.40","2,572.00","2,572.70","2,571.05","2,791.00","1,825.05","14,38,377","3,69,81,38,205.25","60,471",TITAN
3-Apr-23,EQ,"2,525.90","2,544.65","2,513.30","2,514.90","2,536.00","2,537.40","2,535.34","2,791.00","1,825.05","7,01,713","1,77,90,78,932.45","40,354",TITAN
31-Mar-23,EQ,"2,526.95","2,536.75","2,500.00","2,515.05","2,514.90","2,514.90","2,514.18","2,791.00","1,825.05","8,48,456","2,13,31,66,995.50","78,428",TITAN
29-Mar-23,EQ,"2,500.30","2,525.00","2,494.00","2,500.30","2,521.55","2,515.05","2,510.12","2,791.00","1,825.05","7,10,603","1,78,36,98,996.10","49,186",TITAN
28-Mar-23,EQ,"2,502.90","2,507.15","2,493.90","2,494.40","2,500.00","2,500.30","2,500.57","2,791.00","1,825.05","5,99,191","1,49,83,21,461.00","39,686",TITAN
27-Mar-23,EQ,"2,480.00","2,510.00","2,466.80","2,493.35","2,494.90","2,494.40","2,496.58","2,791.00","1,825.05","7,28,727","1,81,93,22,039.60","73,023",TITAN
24-Mar-23,EQ,"2,516.80","2,519.70","2,474.95","2,519.05","2,485.00","2,493.35","2,492.41","2,791.00","1,825.05","8,38,919","2,09,09,27,271.85","60,562",TITAN
23-Mar-23,EQ,"2,510.00","2,528.00","2,494.05","2,508.15","2,516.80","2,519.05","2,510.89","2,791.00","1,825.05","6,10,778","1,53,35,93,571.55","49,469",TITAN
22-Mar-23,EQ,"2,517.95","2,524.00","2,495.00","2,514.05","2,510.00","2,508.15","2,509.09","2,791.00","1,825.05","7,54,732","1,89,36,86,979.75","75,903",TITAN
21-Mar-23,EQ,"2,475.00","2,521.55","2,468.05","2,459.95","2,507.00","2,514.05","2,506.76","2,791.00","1,825.05","16,52,107","4,14,14,32,114.85","89,897",TITAN
20-Mar-23,EQ,"2,462.00","2,474.95","2,441.55","2,455.65","2,457.00","2,459.95","2,455.80","2,791.00","1,825.05","9,18,922","2,25,66,91,321.95","65,926",TITAN
17-Mar-23,EQ,"2,467.15","2,474.00","2,447.40","2,450.35","2,460.00","2,455.65","2,459.97","2,791.00","1,825.05","16,25,905","3,99,96,75,317.00","1,05,032",TITAN
16-Mar-23,EQ,"2,413.50","2,482.00","2,413.00","2,399.10","2,450.00","2,450.35","2,455.49","2,791.00","1,825.05","23,17,115","5,68,96,47,995.50","1,25,902",TITAN
15-Mar-23,EQ,"2,380.00","2,413.85","2,379.95","2,355.60","2,400.00","2,399.10","2,398.46","2,791.00","1,825.05","16,56,307","3,97,25,87,503.00","89,980",TITAN
14-Mar-23,EQ,"2,336.95","2,391.85","2,328.85","2,332.00","2,361.00","2,355.60","2,358.77","2,791.00","1,825.05","14,70,817","3,46,93,18,324.60","1,13,287",TITAN
13-Mar-23,EQ,"2,372.75","2,376.95","2,321.00","2,375.50","2,339.95","2,332.00","2,344.49","2,791.00","1,825.05","6,31,722","1,48,10,67,191.05","60,325",TITAN
10-Mar-23,EQ,"2,354.85","2,379.95","2,338.00","2,368.25","2,376.55","2,375.50","2,359.03","2,791.00","1,825.05","5,43,004","1,28,09,61,341.50","63,203",TITAN
9-Mar-23,EQ,"2,400.80","2,407.95","2,365.00","2,397.10","2,365.00","2,368.25","2,380.24","2,791.00","1,825.05","6,01,071","1,43,06,92,247.40","51,155",TITAN
8-Mar-23,EQ,"2,396.40","2,401.20","2,372.25","2,403.45","2,397.00","2,397.10","2,385.77","2,791.00","1,825.05","8,58,496","2,04,81,73,197.30","76,548",TITAN
6-Mar-23,EQ,"2,412.55","2,426.40","2,392.60","2,396.10","2,403.40","2,403.45","2,407.38","2,791.00","1,825.05","6,82,556","1,64,31,70,182.65","65,316",TITAN
3-Mar-23,EQ,"2,370.00","2,402.00","2,358.30","2,358.95","2,400.00","2,396.10","2,389.93","2,791.00","1,825.05","7,10,845","1,69,88,68,273.35","71,426",TITAN
2-Mar-23,EQ,"2,382.35","2,394.30","2,351.75","2,382.40","2,360.00","2,358.95","2,365.22","2,791.00","1,825.05","5,29,609","1,25,26,43,413.70","61,004",TITAN
1-Mar-23,EQ,"2,370.00","2,396.05","2,366.35","2,372.80","2,383.50","2,382.40","2,384.06","2,791.00","1,825.05","4,79,935","1,14,41,93,522.05","48,640",TITAN
28-Feb-23,EQ,"2,401.10","2,425.00","2,363.60","2,401.00","2,370.00","2,372.80","2,392.71","2,791.00","1,825.05","14,30,349","3,42,24,12,965.40","61,885",TITAN
27-Feb-23,EQ,"2,399.10","2,412.00","2,373.60","2,399.10","2,402.60","2,401.00","2,393.65","2,791.00","1,825.05","8,62,629","2,06,48,30,019.90","56,043",TITAN
24-Feb-23,EQ,"2,400.00","2,413.75","2,377.95","2,394.50","2,397.05","2,399.10","2,390.46","2,791.00","1,825.05","11,45,691","2,73,87,33,983.45","59,118",TITAN
23-Feb-23,EQ,"2,432.50","2,432.50","2,380.00","2,431.55","2,392.00","2,394.50","2,401.70","2,791.00","1,825.05","16,02,078","3,84,77,16,960.65","1,04,103",TITAN
22-Feb-23,EQ,"2,451.95","2,462.80","2,414.40","2,463.60","2,429.95","2,431.55","2,432.68","2,791.00","1,825.05","10,98,118","2,67,13,66,572.75","92,879",TITAN
21-Feb-23,EQ,"2,485.95","2,485.95","2,450.50","2,474.15","2,466.00","2,463.60","2,462.11","2,791.00","1,825.05","7,50,272","1,84,72,50,224.10","61,020",TITAN
20-Feb-23,EQ,"2,500.00","2,507.25","2,466.30","2,500.30","2,478.00","2,474.15","2,484.94","2,791.00","1,825.05","4,60,090","1,14,32,94,476.40","36,989",TITAN
17-Feb-23,EQ,"2,515.00","2,545.85","2,496.00","2,522.40","2,500.00","2,500.30","2,515.13","2,791.00","1,825.05","6,07,239","1,52,72,85,030.05","41,495",TITAN
16-Feb-23,EQ,"2,530.00","2,545.65","2,518.10","2,524.30","2,521.00","2,522.40","2,532.53","2,791.00","1,825.05","7,04,946","1,78,52,97,203.60","46,977",TITAN
15-Feb-23,EQ,"2,503.45","2,528.25","2,483.30","2,506.90","2,527.00","2,524.30","2,512.63","2,791.00","1,825.05","7,07,224","1,77,69,94,429.75","50,310",TITAN
14-Feb-23,EQ,"2,528.95","2,528.95","2,480.00","2,519.05","2,507.05","2,506.90","2,503.48","2,791.00","1,825.05","8,43,477","2,11,16,30,050.55","76,561",TITAN
13-Feb-23,EQ,"2,480.00","2,523.95","2,476.15","2,468.50","2,519.75","2,519.05","2,512.45","2,791.00","1,825.05","18,56,317","4,66,39,06,619.15","1,02,878",TITAN
10-Feb-23,EQ,"2,452.00","2,472.00","2,442.05","2,462.55","2,470.50","2,468.50","2,458.38","2,791.00","1,825.05","5,97,337","1,46,84,79,558.60","59,950",TITAN
9-Feb-23,EQ,"2,467.00","2,475.65","2,451.60","2,466.75","2,465.50","2,462.55","2,464.26","2,791.00","1,825.05","4,64,715","1,14,51,78,444.95","51,574",TITAN
8-Feb-23,EQ,"2,447.00","2,480.00","2,447.00","2,446.90","2,463.55","2,466.75","2,467.67","2,791.00","1,825.05","5,39,085","1,33,02,86,215.05","40,830",TITAN
7-Feb-23,EQ,"2,456.30","2,459.75","2,432.10","2,458.00","2,449.05","2,446.90","2,444.71","2,791.00","1,825.05","5,63,195","1,37,68,46,503.25","55,199",TITAN
6-Feb-23,EQ,"2,474.85","2,479.95","2,447.60","2,463.10","2,456.30","2,458.00","2,462.07","2,791.00","1,825.05","10,49,075","2,58,28,97,641.75","97,074",TITAN
3-Feb-23,EQ,"2,320.10","2,470.00","2,320.10","2,308.10","2,458.30","2,463.10","2,425.35","2,791.00","1,825.05","36,93,638","8,95,83,63,285.70","2,05,942",TITAN
2-Feb-23,EQ,"2,341.05","2,385.00","2,269.60","2,345.90","2,325.00","2,308.10","2,336.44","2,791.00","1,825.05","17,88,381","4,17,84,41,160.95","1,14,317",TITAN
1-Feb-23,EQ,"2,408.55","2,409.80","2,300.05","2,377.15","2,345.00","2,345.90","2,363.36","2,791.00","1,825.05","15,21,514","3,59,58,90,169.10","1,03,902",TITAN
31-Jan-23,EQ,"2,347.00","2,386.45","2,335.65","2,335.55","2,383.00","2,377.15","2,367.90","2,791.00","1,825.05","12,52,600","2,96,60,30,261.25","90,793",TITAN
30-Jan-23,EQ,"2,332.00","2,342.85","2,287.05","2,331.25","2,340.00","2,335.55","2,315.79","2,791.00","1,825.05","14,01,847","3,24,63,81,011.10","1,20,736",TITAN
27-Jan-23,EQ,"2,368.40","2,368.40","2,302.60","2,356.60","2,332.00","2,331.25","2,326.44","2,791.00","1,825.05","12,38,620","2,88,15,80,875.90","1,22,600",TITAN
25-Jan-23,EQ,"2,370.00","2,370.00","2,333.55","2,370.75","2,370.00","2,356.60","2,351.69","2,791.00","1,825.05","6,50,664","1,53,01,60,774.00","55,389",TITAN
24-Jan-23,EQ,"2,372.50","2,390.60","2,364.00","2,364.70","2,370.00","2,370.75","2,378.29","2,791.00","1,825.05","7,14,000","1,69,81,00,471.40","61,807",TITAN
23-Jan-23,EQ,"2,383.95","2,384.30","2,355.60","2,371.30","2,358.65","2,364.70","2,365.23","2,791.00","1,825.05","9,32,554","2,20,57,02,735.90","86,801",TITAN
20-Jan-23,EQ,"2,389.95","2,396.95","2,353.00","2,385.05","2,374.00","2,371.30","2,372.42","2,791.00","1,825.05","12,29,902","2,91,78,43,628.90","84,004",TITAN
19-Jan-23,EQ,"2,392.50","2,411.80","2,367.20","2,424.10","2,386.00","2,385.05","2,388.66","2,791.00","1,825.05","11,16,874","2,66,78,32,480.60","75,874",TITAN
18-Jan-23,EQ,"2,418.00","2,429.85","2,412.80","2,407.95","2,424.40","2,424.10","2,421.82","2,791.00","1,825.05","6,01,233","1,45,60,75,594.00","47,336",TITAN
