Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,"8,358.00","8,415.60","8,252.90","8,333.25","8,260.00","8,268.60","8,315.28","8,432.15","5,161.80","1,87,488","1,55,90,14,959.90","23,541",ULTRACEMCO
16-Jun-23,EQ,"8,364.95","8,432.15","8,305.85","8,333.20","8,328.00","8,333.25","8,347.22","8,432.15","5,157.05","3,56,982","2,97,98,08,738.55","45,896",ULTRACEMCO
15-Jun-23,EQ,"8,380.00","8,428.00","8,309.00","8,358.30","8,331.10","8,333.20","8,370.41","8,428.00","5,157.05","4,06,197","3,40,00,34,548.40","46,924",ULTRACEMCO
14-Jun-23,EQ,"8,308.95","8,366.95","8,276.75","8,276.30","8,362.35","8,358.30","8,324.33","8,366.95","5,157.05","2,89,643","2,41,10,83,670.70","46,957",ULTRACEMCO
13-Jun-23,EQ,"8,212.50","8,318.30","8,211.75","8,198.60","8,280.00","8,276.30","8,271.02","8,318.30","5,157.05","2,49,199","2,06,11,29,674.40","33,629",ULTRACEMCO
12-Jun-23,EQ,"8,160.50","8,205.00","8,102.35","8,153.25","8,185.20","8,198.60","8,173.58","8,217.70","5,157.05","1,95,134","1,59,49,43,003.30","39,762",ULTRACEMCO
9-Jun-23,EQ,"8,158.00","8,217.70","8,108.20","8,100.15","8,170.00","8,153.25","8,159.11","8,217.70","5,157.05","3,25,814","2,65,83,51,125.55","38,780",ULTRACEMCO
8-Jun-23,EQ,"8,170.00","8,213.95","8,086.00","8,157.60","8,104.00","8,100.15","8,143.47","8,213.95","5,157.05","3,49,085","2,84,27,63,054.55","40,115",ULTRACEMCO
7-Jun-23,EQ,"8,135.10","8,171.90","8,082.55","8,109.55","8,152.40","8,157.60","8,131.37","8,171.90","5,157.05","2,98,650","2,42,84,34,239.30","36,848",ULTRACEMCO
6-Jun-23,EQ,"7,888.00","8,120.00","7,888.00","7,882.00","8,115.00","8,109.55","8,047.21","8,120.00","5,157.05","6,35,244","5,11,19,38,769.15","73,615",ULTRACEMCO
5-Jun-23,EQ,"7,897.00","7,925.00","7,865.00","7,850.65","7,865.50","7,882.00","7,889.65","7,970.00","5,157.05","1,86,015","1,46,75,93,338.35","24,602",ULTRACEMCO
2-Jun-23,EQ,"7,861.00","7,947.45","7,826.45","7,842.80","7,841.00","7,850.65","7,882.71","7,970.00","5,157.05","2,48,325","1,95,74,75,195.90","24,294",ULTRACEMCO
1-Jun-23,EQ,"7,871.00","7,898.80","7,809.80","7,870.05","7,840.00","7,842.80","7,857.59","7,970.00","5,157.05","1,84,642","1,45,08,41,751.65","29,538",ULTRACEMCO
31-May-23,EQ,"7,895.00","7,927.45","7,779.85","7,901.95","7,822.00","7,870.05","7,864.59","7,970.00","5,157.05","11,37,662","8,94,72,44,264.85","56,111",ULTRACEMCO
