Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,694.95,696,681.5,690.85,685.65,685.6,685.52,807,607.5,"15,10,117","1,03,52,10,108.25","38,501",UPL
16-Jun-23,EQ,681.3,695.8,681.1,680.8,692,690.85,691.03,807,607.5,"33,97,721","2,34,79,19,793.30","48,749",UPL
15-Jun-23,EQ,682.75,688,676.65,682.75,680.3,680.8,680.75,807,607.5,"18,90,165","1,28,67,31,359.90","44,817",UPL
14-Jun-23,EQ,682,689.45,678.65,682.25,682.95,682.75,683.19,807,607.5,"40,09,140","2,73,90,15,463.90","60,273",UPL
13-Jun-23,EQ,676.1,684,676.1,678.95,683,682.25,681.52,807,607.5,"21,75,343","1,48,25,40,074.40","39,504",UPL
12-Jun-23,EQ,680.25,682.55,674.2,680.25,679.8,678.95,678.8,807,607.5,"20,17,017","1,36,91,51,642.40","51,513",UPL
9-Jun-23,EQ,692,692.4,677.8,690.05,679,680.25,685.94,807,607.5,"14,11,515","96,82,19,830.65","47,369",UPL
8-Jun-23,EQ,695,698.9,689.05,693.95,690.2,690.05,693.38,807,607.5,"13,12,986","91,03,94,847.55","26,462",UPL
7-Jun-23,EQ,697,697.75,692.8,694,695,693.95,695.05,807,607.5,"11,47,072","79,72,66,715.80","27,779",UPL
6-Jun-23,EQ,691,696.95,690.4,690,694.05,694,694.24,807,607.5,"16,18,425","1,12,35,76,688.00","42,329",UPL
5-Jun-23,EQ,689,691.5,684.65,683.35,690,690,688.67,807,607.5,"12,27,013","84,50,07,504.30","23,808",UPL
2-Jun-23,EQ,679,684.5,678.9,677.95,683.8,683.35,682.38,807,607.5,"11,68,519","79,73,79,188.85","30,594",UPL
1-Jun-23,EQ,685,685.1,676.5,685.1,678.4,677.95,679.19,807,607.5,"24,70,088","1,67,76,52,206.25","52,454",UPL
31-May-23,EQ,684.25,691.05,682,689.05,683,685.1,686.15,807,607.5,"33,70,272","2,31,25,26,330.35","45,835",UPL
30-May-23,EQ,691,694,684.1,690,689,689.05,687.9,807,607.5,"9,00,153","61,92,18,013.60","26,814",UPL
29-May-23,EQ,690,691.5,686.25,688.1,690.1,690,689.56,807,607.5,"11,16,759","77,00,69,506.70","25,355",UPL
26-May-23,EQ,676,688.95,676,675.8,687.2,688.1,684.43,815.35,607.5,"21,31,442","1,45,88,20,674.50","48,716",UPL
25-May-23,EQ,682.5,685.45,674.15,682.25,676.45,675.8,677.6,815.35,607.5,"22,10,598","1,49,78,92,217.40","34,438",UPL
24-May-23,EQ,680.65,684.8,674,680.65,682.3,682.25,681.72,815.35,607.5,"19,20,527","1,30,92,65,468.45","29,981",UPL
23-May-23,EQ,670.45,681.75,670.45,670.4,680.7,680.65,678.03,815.35,607.5,"20,87,867","1,41,56,28,048.00","36,177",UPL
22-May-23,EQ,668,672.05,661.95,668,671.2,670.4,666.27,815.35,607.5,"21,16,815","1,41,03,71,700.85","36,171",UPL
19-May-23,EQ,674,676,657.05,673.35,667.9,668,664.76,828,607.5,"46,32,213","3,07,93,30,555.15","88,570",UPL
18-May-23,EQ,679,681.8,672.15,677.8,673,673.35,675.73,828,607.5,"14,08,554","95,18,07,549.80","31,296",UPL
17-May-23,EQ,673.25,683.45,672.15,672.85,679,677.8,677.14,828,607.5,"25,27,136","1,71,12,12,833.30","56,772",UPL
16-May-23,EQ,677,677.85,671,675.95,674,672.85,673.66,828,607.5,"18,66,298","1,25,72,52,549.30","42,526",UPL
15-May-23,EQ,679.4,680.95,675,678.2,676.7,675.95,677.84,828,607.5,"24,32,818","1,64,90,55,724.10","45,096",UPL
12-May-23,EQ,685.05,685.8,673,682.9,678.25,678.2,677.25,828,607.5,"18,05,619","1,22,28,62,204.40","56,996",UPL
11-May-23,EQ,682.2,687.45,680.35,679.7,684.6,682.9,684.18,828,607.5,"22,28,828","1,52,49,24,279.25","70,351",UPL
10-May-23,EQ,695.8,695.8,677.3,694.4,680.5,679.7,682.06,828,607.5,"58,03,203","3,95,81,42,157.00","1,19,722",UPL
9-May-23,EQ,710,710,692.65,715.4,693.75,694.4,698.33,828,607.5,"80,30,712","5,60,80,51,108.20","1,52,020",UPL
