Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Symbol
19-Jun-23,EQ,382,382,377.1,381.3,380.2,380.15,379.58,444.9,352,"53,14,720","2,01,73,47,500.55","91,249",WIPRO
16-Jun-23,EQ,385.55,388.65,379.15,388.95,380.4,381.3,382.64,453.7,352,"2,05,55,324","7,86,52,00,135.80","2,04,749",WIPRO
15-Jun-23,EQ,397.1,397.45,388.25,396.45,388.8,388.95,391.44,453.7,352,"1,43,51,160","5,61,75,91,712.45","1,65,386",WIPRO
14-Jun-23,EQ,396.3,397.15,392.7,395.55,397.1,396.45,395.06,453.7,352,"92,56,282","3,65,67,77,068.15","1,07,916",WIPRO
13-Jun-23,EQ,397.95,398.5,394.5,395.6,395.25,395.55,395.73,453.7,352,"65,08,093","2,57,54,39,247.45","91,010",WIPRO
12-Jun-23,EQ,399.8,399.8,394.6,397.3,395.65,395.6,397.06,453.7,352,"59,86,811","2,37,71,35,110.15","95,232",WIPRO
9-Jun-23,EQ,399.45,400.35,396.05,399.55,397.25,397.3,397.52,476.15,352,"60,09,116","2,38,87,60,106.00","1,01,103",WIPRO
8-Jun-23,EQ,404.1,404.75,398.75,402.8,399.95,399.55,400.27,476.15,352,"53,07,526","2,12,44,32,474.40","83,358",WIPRO
7-Jun-23,EQ,402.4,403.6,401,399.95,403.6,402.8,402.52,476.15,352,"41,07,930","1,65,35,24,386.75","64,560",WIPRO
6-Jun-23,EQ,403.35,403.35,395.55,404.2,400,399.95,398.98,476.15,352,"68,53,700","2,73,44,92,969.80","86,185",WIPRO
5-Jun-23,EQ,408.9,409.75,403.7,404.95,404.55,404.2,405.51,476.15,352,"36,26,430","1,47,05,54,210.75","65,499",WIPRO
2-Jun-23,EQ,408.7,409.8,404,407.15,405.35,404.95,406.53,488,352,"31,60,377","1,28,47,73,695.60","67,783",WIPRO
1-Jun-23,EQ,405,408,404.05,403.65,407.4,407.15,406.86,488,352,"35,32,742","1,43,73,20,552.70","59,327",WIPRO
31-May-23,EQ,401.75,404.8,400.5,402.5,403.9,403.65,403.43,488,352,"58,91,791","2,37,69,34,523.20","61,934",WIPRO
30-May-23,EQ,400,403.85,399.45,399.8,403,402.5,402.23,488,352,"36,89,486","1,48,40,10,896.85","76,385",WIPRO
29-May-23,EQ,404,406,399.35,401.7,400,399.8,401.85,488,352,"39,79,654","1,59,92,37,603.15","82,196",WIPRO
26-May-23,EQ,395.15,402.55,395,394.1,401.05,401.7,399.88,488,352,"39,63,090","1,58,47,53,034.70","65,343",WIPRO
25-May-23,EQ,399,399,392.65,399.7,395,394.1,395.45,488,352,"68,02,527","2,69,00,75,398.45","79,994",WIPRO
24-May-23,EQ,394.5,400.45,393.35,397.65,399.5,399.7,398.36,488,352,"41,28,487","1,64,46,42,807.90","56,094",WIPRO
23-May-23,EQ,397,402.1,396.05,395.75,397.2,397.65,399.3,488,352,"63,62,817","2,54,06,97,150.80","1,05,221",WIPRO
22-May-23,EQ,386.5,396.6,385.4,386.2,396,395.75,392.6,488,352,"60,98,695","2,39,43,46,544.80","94,635",WIPRO
19-May-23,EQ,384.8,388.2,383.5,382.6,385.9,386.2,386.09,495.25,352,"36,40,791","1,40,56,89,204.00","54,093",WIPRO
18-May-23,EQ,385.2,385.35,382.25,382.3,382.7,382.6,383.53,495.25,352,"21,18,508","81,25,17,380.75","45,499",WIPRO
17-May-23,EQ,386.2,387.35,381.35,386.95,382.8,382.3,382.94,495.25,352,"26,88,051","1,02,93,61,991.90","58,987",WIPRO
16-May-23,EQ,387.5,388.8,386.5,385.75,387,386.95,387.4,495.25,352,"20,29,676","78,62,96,666.20","41,768",WIPRO
15-May-23,EQ,383.25,387,382.5,383.25,386.35,385.75,385.76,495.25,352,"25,44,847","98,17,05,052.50","61,207",WIPRO
12-May-23,EQ,384.6,385.25,381.55,384.65,383.6,383.25,383.49,495.25,352,"22,90,179","87,82,53,996.50","55,667",WIPRO
11-May-23,EQ,385.7,386.85,383.1,383.75,384.65,384.65,385.07,495.25,352,"20,24,982","77,97,61,291.25","46,214",WIPRO
10-May-23,EQ,384,384.55,382,382.3,383.75,383.75,383.13,495.25,352,"18,35,201","70,31,13,535.45","49,858",WIPRO
9-May-23,EQ,382.5,383.45,380.05,380.35,382.7,382.3,381.89,495.25,352,"28,58,349","1,09,15,82,584.40","55,743",WIPRO
8-May-23,EQ,381,383,379.6,379.4,380.85,380.35,380.46,495.25,352,"48,06,772","1,82,87,91,929.70","61,437",WIPRO
5-May-23,EQ,382.75,384.4,379,383.7,379.75,379.4,380.81,519,352,"39,51,097","1,50,46,24,092.95","64,467",WIPRO
4-May-23,EQ,384.75,386.15,383.05,385.1,383.5,383.7,384.52,519,352,"31,26,679","1,20,22,75,533.95","47,532",WIPRO
3-May-23,EQ,388.35,388.35,382.05,388.35,385.25,385.1,385.9,519,352,"24,14,244","93,16,57,707.75","54,223",WIPRO
2-May-23,EQ,389,392.15,387.45,385,388,388.35,389.72,519,352,"48,73,304","1,89,92,23,034.55","85,912",WIPRO
28-Apr-23,EQ,380,388,380,374.4,384.7,385,384.85,537.75,352,"1,38,54,703","5,33,20,40,081.90","1,60,651",WIPRO
27-Apr-23,EQ,376.4,376.6,372.05,374.55,374.9,374.4,374.45,537.75,352,"42,45,850","1,58,98,65,240.50","66,675",WIPRO
